n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 448.86884, 4.4886885, 0.44886884, 4.4886884e-4, 448868.84, 4488.6885, 448.86884, 0.44886884, 8.254494e-5, 9.085424e-3, 0.447012, 447.012, 0.447012, 447.01202
2511, 351.32635, 3.5132637, 0.35132638, 3.5132637e-4, 351326.38, 3513.2637, 351.3264, 0.35132638, 4.7792044e-5, 6.913179e-3, 0.349753, 349.753, 0.349753, 349.753
2011, 242.06128, 2.4206128, 0.24206127, 2.4206127e-4, 242061.27, 2420.6128, 242.06128, 0.24206127, 4.1166735e-5, 6.416131e-3, 0.239282, 239.282, 0.239282, 239.282
1511, 271.49045, 2.7149045, 0.27149045, 2.7149045e-4, 271490.47, 2714.9045, 271.49045, 0.27149045, 3.408829e-5, 5.838518e-3, 0.26993, 269.93, 0.26993, 269.93
1011, 148.16803, 1.4816803, 0.14816803, 1.4816802e-4, 148168.03, 1481.6803, 148.16803, 0.14816803, 1.8899267e-5, 4.3473286e-3, 0.147824, 147.824, 0.147824, 147.824
511, 86.76997, 0.8676997, 8.676997e-2, 8.676997e-5, 86769.97, 867.6997, 86.769966, 8.676997e-2, 1.2348447e-5, 3.5140356e-3, 8.5938e-2, 85.937996, 8.5938e-2, 85.938
11, 1.2404668, 1.2404669e-2, 1.2404668e-3, 1.2404669e-6, 1240.4668, 12.404669, 1.2404668, 1.2404668e-3, 2.1036507e-7, 4.5865573e-4, 1.073e-3, 1.0730001, 1.073e-3, 1.0730001
