n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3, medianEach1e3, medianEach1e6
3011, 457.0405, 4.570405, 0.4570405, 4.570405e-4, 457040.5, 4570.405, 457.0405, 0.4570405, 9.861882e-4, 3.1403635e-2, 0.451469, 451.469, 0.451469, 451.469
2511, 368.0236, 3.6802359, 0.36802357, 3.6802358e-4, 368023.56, 3680.2358, 368.02356, 0.36802357, 6.605483e-5, 8.127413e-3, 0.36601, 366.01, 0.36601, 366.01
2011, 243.16415, 2.4316416, 0.24316415, 2.4316415e-4, 243164.16, 2431.6416, 243.16415, 0.24316415, 6.563203e-5, 8.10136e-3, 0.240489, 240.48901, 0.240489, 240.48901
1511, 270.6683, 2.706683, 0.2706683, 2.706683e-4, 270668.3, 2706.6829, 270.6683, 0.2706683, 6.445733e-5, 8.028532e-3, 0.268149, 268.149, 0.268149, 268.149
1011, 148.08958, 1.4808959, 0.14808959, 1.4808959e-4, 148089.6, 1480.8959, 148.08958, 0.14808959, 1.5651805e-5, 3.9562364e-3, 0.147131, 147.131, 0.147131, 147.131
511, 85.873634, 0.85873634, 8.587363e-2, 8.587363e-5, 85873.63, 858.7363, 85.873634, 8.587363e-2, 3.1954587e-6, 1.7875846e-3, 8.5735e-2, 85.735, 8.5735e-2, 85.735
11, 1.1937999, 1.1937999e-2, 1.1937999e-3, 1.1937999e-6, 1193.7999, 11.937999, 1.1937999, 1.1937999e-3, 4.6718824e-8, 2.1614537e-4, 1.111e-3, 1.111, 1.111e-3, 1.111
