n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
2621,10117.065,101.170654,10.117065,1.0117065E-02,10117.065,101.170654,10.117065,1.0117065E-02,1.0342591E-05,3.2159898E-03,9.113E-03,9.113
2631,11844.399,118.44399,11.844399,1.1844399E-02,11844.399,118.44399,11.844399,1.1844399E-02,9.765807E-06,3.1250292E-03,1.068E-02,10.68
2641,11459.366,114.593666,11.459367,1.1459366E-02,11459.366,114.593666,11.459367,1.1459366E-02,8.789178E-06,2.9646547E-03,1.0545E-02,10.545
2651,11343.968,113.43968,11.343968,1.1343968E-02,11343.968,113.43968,11.343968,1.1343968E-02,1.0262296E-05,3.203482E-03,1.0203E-02,10.203
2661,10648.834,106.488335,10.648833,1.0648834E-02,10648.834,106.488335,10.648833,1.0648834E-02,9.804117E-06,3.1311528E-03,9.63E-03,9.63
2671,12731.534,127.315346,12.731534,1.2731534E-02,12731.534,127.315346,12.731534,1.2731534E-02,1.0453123E-05,3.233129E-03,1.173E-02,11.7300005
2681,13086.299,130.86299,13.086299,1.30862985E-02,13086.299,130.86299,13.086299,1.30862985E-02,1.4468694E-05,3.8037736E-03,1.1775E-02,11.775
2691,12797.866,127.97866,12.797866,1.2797866E-02,12797.866,127.97866,12.797866,1.2797866E-02,1.2092413E-05,3.4774148E-03,1.1812E-02,11.811999
2701,14141.933,141.41933,14.141933,1.4141933E-02,14141.933,141.41933,14.141933,1.4141933E-02,1.5757032E-05,3.969513E-03,1.2995E-02,12.995
2711,15276.101,152.761,15.2761,1.52761005E-02,15276.101,152.761,15.2761,1.52761005E-02,1.3974392E-05,3.7382338E-03,1.4063E-02,14.063
2721,14762.835,147.62834,14.762835,1.4762835E-02,14762.835,147.62834,14.762835,1.4762835E-02,1.5761827E-05,3.970117E-03,1.3369E-02,13.3689995
2731,14784.7,147.847,14.7847,1.47847E-02,14784.7,147.847,14.7847,1.47847E-02,9.94663E-06,3.1538277E-03,1.3761E-02,13.761
2741,13563.731,135.63731,13.563732,1.3563732E-02,13563.731,135.63731,13.563732,1.3563732E-02,9.910447E-06,3.1480864E-03,1.2491E-02,12.491
2751,13970.368,139.70369,13.970368,1.3970369E-02,13970.368,139.70369,13.970368,1.3970369E-02,1.1880576E-05,3.4468211E-03,1.2565E-02,12.565
2761,12871.164,128.71164,12.871164,1.2871164E-02,12871.164,128.71164,12.871164,1.2871164E-02,9.503583E-06,3.082788E-03,1.1752E-02,11.752
2771,14963.033,149.63034,14.963034,1.4963034E-02,14963.033,149.63034,14.963034,1.4963034E-02,2.041418E-05,4.5182053E-03,1.3541E-02,13.541
2781,14105.566,141.05566,14.105567,1.4105567E-02,14105.566,141.05566,14.105567,1.4105567E-02,1.0614922E-05,3.2580548E-03,1.3038E-02,13.038
2791,13351.5,133.515,13.3515,1.33515E-02,13351.5,133.515,13.3515,1.33515E-02,1.2520667E-05,3.5384553E-03,1.2151E-02,12.151
2801,14343.101,143.431,14.343101,1.4343101E-02,14343.101,143.431,14.343101,1.4343101E-02,1.3119851E-05,3.6221335E-03,1.3165E-02,13.165
2811,13420.401,134.20401,13.420402,1.3420401E-02,13420.401,134.20401,13.420402,1.3420401E-02,1.8189616E-05,4.2649284E-03,1.1916E-02,11.916
2821,13984.868,139.84868,13.984868,1.3984868E-02,13984.868,139.84868,13.984868,1.3984868E-02,1.079702E-05,3.2858818E-03,1.2913E-02,12.913
