n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
411,147234.38,1472.3438,147.23438,0.14723438,147234.38,1472.3438,147.23438,0.14723438,9.401042E-06,3.0661118E-03,0.146215,146.21501
421,153696.69,1536.9669,153.69669,0.15369669,153696.69,1536.9669,153.69669,0.15369669,4.3234613E-06,2.0792934E-03,0.153723,153.723
431,166018.06,1660.1807,166.01807,0.16601807,166018.06,1660.1807,166.01807,0.16601807,1.3180162E-05,3.6304493E-03,0.166231,166.231
441,167816.61,1678.1661,167.8166,0.16781661,167816.61,1678.1661,167.8166,0.16781661,3.2526907E-06,1.8035218E-03,0.167529,167.529
451,182557.16,1825.5715,182.55714,0.18255715,182557.16,1825.5715,182.55714,0.18255715,7.65448E-06,2.7666732E-03,0.181832,181.832
461,195584.98,1955.8499,195.58498,0.19558498,195584.98,1955.8499,195.58498,0.19558498,7.715512E-06,2.777681E-03,0.19475,194.75
471,197941.55,1979.4154,197.94154,0.19794154,197941.55,1979.4154,197.94154,0.19794154,1.16631E-05,3.4151282E-03,0.197677,197.677
481,212512.33,2125.1233,212.51233,0.21251233,212512.33,2125.1233,212.51233,0.21251233,4.4778394E-04,2.1160906E-02,0.20727,207.26999
491,213002.3,2130.023,213.00229,0.2130023,213002.3,2130.023,213.00229,0.2130023,1.3712012E-05,3.7029735E-03,0.212128,212.128
501,219063.13,2190.631,219.06313,0.21906312,219063.13,2190.631,219.06313,0.21906312,5.815592E-06,2.4115539E-03,0.219254,219.254
511,231796.97,2317.9697,231.79697,0.23179697,231796.97,2317.9697,231.79697,0.23179697,1.4072488E-05,3.7513315E-03,0.230657,230.657
521,239783.48,2397.8347,239.78348,0.23978348,239783.48,2397.8347,239.78348,0.23978348,4.330581E-05,6.580715E-03,0.239633,239.633
531,259265.25,2592.6523,259.26526,0.25926524,259265.25,2592.6523,259.26526,0.25926524,1.5528592E-04,1.2461377E-02,0.257169,257.169
541,251614.13,2516.1414,251.61412,0.25161412,251614.13,2516.1414,251.61412,0.25161412,1.7581944E-05,4.193083E-03,0.252137,252.13701
551,269509.53,2695.0952,269.50952,0.26950952,269509.53,2695.0952,269.50952,0.26950952,2.5848538E-05,5.084146E-03,0.268321,268.321
561,284818.03,2848.1802,284.81802,0.28481802,284818.03,2848.1802,284.81802,0.28481802,1.7952576E-05,4.237048E-03,0.284766,284.766
571,285141.06,2851.4104,285.14105,0.28514105,285141.06,2851.4104,285.14105,0.28514105,1.9705938E-05,4.439137E-03,0.283723,283.723
581,301395.38,3013.9539,301.3954,0.3013954,301395.38,3013.9539,301.3954,0.3013954,4.9831415E-06,2.2322952E-03,0.301422,301.422
591,313304.34,3133.0435,313.30432,0.31330433,313304.34,3133.0435,313.30432,0.31330433,1.3458988E-05,3.6686494E-03,0.312738,312.738
601,324055.34,3240.5535,324.05536,0.32405534,324055.34,3240.5535,324.05536,0.32405534,1.2810542E-05,3.5791819E-03,0.32391,323.91
611,334449.13,3344.4912,334.44913,0.3344491,334449.13,3344.4912,334.44913,0.3344491,3.1520605E-05,5.614321E-03,0.333499,333.49902
621,342834.8,3428.348,342.8348,0.3428348,342834.8,3428.348,342.8348,0.3428348,1.0161131E-05,3.187653E-03,0.342996,342.996
631,365530.88,3655.3088,365.53088,0.36553088,365530.88,3655.3088,365.53088,0.36553088,1.77305E-05,4.21076E-03,0.365133,365.133
641,373942.06,3739.4204,373.94205,0.37394205,373942.06,3739.4204,373.94205,0.37394205,1.5986292E-05,3.998286E-03,0.373397,373.397
651,376260.22,3762.6023,376.26022,0.37626022,376260.22,3762.6023,376.26022,0.37626022,1.7061977E-05,4.1306145E-03,0.376099,376.099
