n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
3011, 5082529.0, 50825.29, 5082.5293, 5.082529, 5082529.0, 50825.29, 5082.5293, 5.082529, 1.3675436e-3, 3.6980312e-2, 5.076541, 5076.541
3001, 5114924.0, 51149.24, 5114.924, 5.114924, 5114924.0, 51149.24, 5114.924, 5.114924, 8.667865e-3, 9.310137e-2, 5.096088, 5096.088
2991, 5030045.0, 50300.45, 5030.045, 5.030045, 5030045.0, 50300.45, 5030.045, 5.030045, 5.774544e-3, 7.599042e-2, 5.000631, 5000.631
2981, 5077397.0, 50773.97, 5077.397, 5.077397, 5077397.0, 50773.97, 5077.397, 5.077397, 8.3615707e-4, 2.8916381e-2, 5.075526, 5075.5264
2971, 4973348.5, 49733.484, 4973.3486, 4.9733486, 4973348.5, 49733.484, 4973.3486, 4.9733486, 1.4580879e-3, 3.818492e-2, 4.962686, 4962.686
2961, 4981400.5, 49814.004, 4981.4004, 4.9814005, 4981400.5, 49814.004, 4981.4004, 4.9814005, 1.5204527e-3, 3.8992982e-2, 4.971485, 4971.4854
2951, 4952621.0, 49526.21, 4952.621, 4.952621, 4952621.0, 49526.21, 4952.621, 4.952621, 7.989988e-4, 2.8266568e-2, 4.950658, 4950.6577
2941, 4844612.5, 48446.125, 4844.613, 4.8446126, 4844612.5, 48446.125, 4844.613, 4.8446126, 3.3725507e-4, 1.8364506e-2, 4.841318, 4841.3184
2931, 4813469.0, 48134.688, 4813.4688, 4.813469, 4813469.0, 48134.688, 4813.4688, 4.813469, 1.6766911e-2, 0.12948711, 4.780529, 4780.529
2921, 4874513.0, 48745.133, 4874.513, 4.874513, 4874513.0, 48745.133, 4874.513, 4.874513, 1.895966e-4, 1.3769408e-2, 4.874172, 4874.1724
2911, 4720955.0, 47209.55, 4720.955, 4.720955, 4720955.0, 47209.55, 4720.955, 4.720955, 1.000218e-3, 3.1626225e-2, 4.714005, 4714.005
2901, 4623237.0, 46232.37, 4623.2373, 4.623237, 4623237.0, 46232.37, 4623.2373, 4.623237, 7.972987e-4, 2.8236479e-2, 4.619709, 4619.709
2891, 4636379.5, 46363.797, 4636.38, 4.6363797, 4636379.5, 46363.797, 4636.38, 4.6363797, 1.1015947e-3, 3.319028e-2, 4.627226, 4627.226
2881, 4686248.5, 46862.484, 4686.2485, 4.6862483, 4686248.5, 46862.484, 4686.2485, 4.6862483, 9.816978e-5, 9.908066e-3, 4.684244, 4684.244
2871, 4534076.0, 45340.76, 4534.076, 4.534076, 4534076.0, 45340.76, 4534.076, 4.534076, 2.4402451e-3, 4.9398836e-2, 4.527013, 4527.0127
2861, 4544055.0, 45440.55, 4544.055, 4.544055, 4544055.0, 45440.55, 4544.055, 4.544055, 2.9493478e-4, 1.7173665e-2, 4.541117, 4541.117
2851, 4451982.0, 44519.82, 4451.982, 4.451982, 4451982.0, 44519.82, 4451.982, 4.451982, 1.0080836e-3, 3.1750333e-2, 4.445007, 4445.007
2841, 4433662.0, 44336.62, 4433.662, 4.433662, 4433662.0, 44336.62, 4433.662, 4.433662, 2.2108082e-4, 1.4868787e-2, 4.433317, 4433.3174
2831, 4394071.0, 43940.71, 4394.0713, 4.394071, 4394071.0, 43940.71, 4394.0713, 4.394071, 7.3369016e-4, 2.7086716e-2, 4.389217, 4389.217
