n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
661,3691.4206,2359.421,23.59421,2.359421,2.359421E-03,2359421.0,23594.21,2359.421,2.359421,5.4747644E-03,7.399165E-02,2.32605,2326.05,2.32605,2326.05
651,3635.5746,2290.0527,22.900528,2.290053,2.2900528E-03,2290053.0,22900.53,2290.053,2.290053,1.4104041E-03,3.7555348E-02,2.280958,2280.958,2.280958,2280.958
641,3579.7286,2269.4272,22.694273,2.2694273,2.2694273E-03,2269427.3,22694.273,2269.4272,2.2694273,3.2638027E-03,5.71297E-02,2.255251,2255.251,2.255251,2255.251
631,3523.8826,2230.7625,22.307625,2.2307625,2.2307625E-03,2230762.5,22307.625,2230.7625,2.2307625,1.412934E-03,3.7589014E-02,2.22101,2221.01,2.22101,2221.01
621,3468.0366,2205.569,22.05569,2.205569,2.205569E-03,2205569.0,22055.69,2205.569,2.205569,2.6043062E-03,5.1032405E-02,2.191985,2191.9849,2.191985,2191.9849
611,3412.1906,2164.457,21.64457,2.164457,2.164457E-03,2164457.0,21644.57,2164.457,2.164457,1.5567675E-03,3.9455894E-02,2.155514,2155.514,2.155514,2155.514
601,3356.3446,2149.661,21.496609,2.1496608,2.1496608E-03,2149660.8,21496.607,2149.661,2.1496608,2.9540877E-03,5.435152E-02,2.129906,2129.906,2.129906,2129.9058
591,3300.4986,2116.386,21.16386,2.1163862,2.116386E-03,2116386.3,21163.861,2116.3862,2.1163862,2.676735E-03,5.173717E-02,2.096612,2096.612,2.096612,2096.612
581,3244.6526,2097.006,20.970062,2.097006,2.0970062E-03,2097006.1,20970.06,2097.006,2.097006,3.0859797E-03,5.5551596E-02,2.066913,2066.9128,2.066913,2066.9128
571,3188.8066,2035.1561,20.35156,2.035156,2.0351561E-03,2035156.0,20351.56,2035.156,2.035156,1.8205618E-03,4.266804E-02,2.021436,2021.436,2.021436,2021.4359
561,3132.9606,1993.7737,19.937737,1.9937737,1.9937737E-03,1993773.9,19937.738,1993.7738,1.9937738,1.1606596E-03,3.4068454E-02,1.983743,1983.7429,1.983743,1983.7429
551,3077.1146,1972.2788,19.722788,1.9722788,1.9722788E-03,1972278.8,19722.787,1972.2787,1.9722787,3.3960356E-03,5.8275513E-02,1.9468,1946.8,1.9468,1946.8
541,3021.2686,1921.5266,19.215265,1.9215267,1.9215266E-03,1921526.6,19215.268,1921.5266,1.9215267,1.6106225E-03,4.013256E-02,1.904446,1904.446,1.904446,1904.446
531,2965.4226,1885.0925,18.850925,1.8850926,1.8850926E-03,1885092.6,18850.926,1885.0927,1.8850926,1.2455512E-03,3.529237E-02,1.871262,1871.262,1.871262,1871.262
521,2909.5766,1854.1185,18.541185,1.8541186,1.8541185E-03,1854118.6,18541.186,1854.1185,1.8541186,1.9578333E-03,4.424741E-02,1.838072,1838.0719,1.838072,1838.072
511,2853.7306,1807.6578,18.076578,1.8076578,1.8076579E-03,1807657.9,18076.578,1807.6578,1.8076578,9.953647E-04,3.15494E-02,1.79574,1795.74,1.79574,1795.74
501,2797.8846,1779.3516,17.793516,1.7793516,1.7793516E-03,1779351.6,17793.516,1779.3516,1.7793516,1.4664794E-03,3.829464E-02,1.762954,1762.954,1.762954,1762.9541
491,2742.0386,1761.5338,17.615337,1.7615337,1.7615338E-03,1761533.8,17615.338,1761.5337,1.7615337,2.6521697E-03,5.149922E-02,1.743364,1743.364,1.743364,1743.364
481,2686.1926,1746.2839,17.46284,1.746284,1.746284E-03,1746284.0,17462.84,1746.284,1.746284,3.7057872E-03,6.0875177E-02,1.712282,1712.282,1.712282,1712.282
471,2630.3466,1661.384,16.61384,1.661384,1.661384E-03,1661384.0,16613.84,1661.384,1.661384,6.4495596E-04,2.5395984E-02,1.655474,1655.474,1.655474,1655.474
