n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
2651,730.010758056478,1294.1018,12.941018,1.2941018,1.2941018E-03,1294101.9,12941.019,1294.1018,1.2941018,1.2018694E-04,1.0962981E-02,1.295219,1295.219
2641,727.25703961794,1216.1997,12.161997,1.2161998,1.2161997E-03,1216199.8,12161.997,1216.1997,1.2161998,1.8231133E-04,1.3502271E-02,1.215881,1215.881
2631,724.503321179402,1186.1667,11.861668,1.1861668,1.1861668E-03,1186166.8,11861.668,1186.1667,1.1861668,3.0238327E-04,1.738917E-02,1.183489,1183.489
2621,721.749602740864,1144.496,11.444961,1.1444961,1.144496E-03,1144496.1,11444.961,1144.4961,1.1444961,2.016137E-04,1.4199074E-02,1.142898,1142.898
2611,718.995884302326,1172.613,11.7261305,1.172613,1.172613E-03,1172613.0,11726.13,1172.613,1.172613,1.3399827E-03,3.6605775E-02,1.164815,1164.815
2601,716.242165863787,1196.656,11.96656,1.196656,1.196656E-03,1196656.0,11966.56,1196.656,1.196656,1.4194666E-04,1.1914137E-02,1.195004,1195.004
2591,713.488447425249,1184.9971,11.84997,1.1849971,1.184997E-03,1184997.1,11849.971,1184.9971,1.1849971,1.5878657E-04,1.2601054E-02,1.183945,1183.945
2581,710.734728986711,1187.2455,11.872455,1.1872455,1.1872455E-03,1187245.5,11872.455,1187.2455,1.1872455,1.20196506E-04,1.0963417E-02,1.18492,1184.9199
2571,707.981010548173,1182.1926,11.821926,1.1821926,1.1821926E-03,1182192.6,11821.926,1182.1925,1.1821926,2.0181129E-04,1.42060295E-02,1.182257,1182.2571
2561,705.227292109635,1195.9331,11.959331,1.1959331,1.1959331E-03,1195933.1,11959.331,1195.9331,1.1959331,1.3684708E-04,1.1698166E-02,1.194549,1194.549
2551,702.473573671096,1166.059,11.660589,1.1660589,1.1660589E-03,1166058.9,11660.589,1166.0588,1.1660589,1.5355877E-04,1.2391883E-02,1.166233,1166.2329
2541,699.719855232558,1206.4484,12.064485,1.2064484,1.2064484E-03,1206448.4,12064.484,1206.4485,1.2064484,6.037082E-04,2.4570474E-02,1.199295,1199.295
2531,696.96613679402,1256.3816,12.563816,1.2563816,1.2563816E-03,1256381.6,12563.816,1256.3816,1.2563816,1.4727956E-04,1.2135879E-02,1.255084,1255.084
2521,694.212418355482,1182.4398,11.824399,1.1824398,1.1824399E-03,1182439.8,11824.398,1182.4398,1.1824398,9.350066E-05,9.669574E-03,1.17909,1179.09
2511,691.458699916944,1148.3076,11.483076,1.1483076,1.1483076E-03,1148307.5,11483.075,1148.3076,1.1483076,9.478023E-05,9.735514E-03,1.145634,1145.634
2501,688.704981478405,1148.105,11.4810505,1.148105,1.148105E-03,1148105.0,11481.05,1148.105,1.148105,1.07544394E-04,1.0370362E-02,1.146521,1146.521
2491,685.951263039867,1094.4146,10.944145,1.0944145,1.0944145E-03,1094414.5,10944.145,1094.4144,1.0944145,1.6022031E-04,1.26578165E-02,1.093876,1093.876
2481,683.197544601329,1179.4833,11.794832,1.1794833,1.1794833E-03,1179483.3,11794.833,1179.4833,1.1794833,1.7586107E-04,1.3261262E-02,1.178628,1178.6279
2471,680.443826162791,1173.8428,11.738428,1.1738428,1.1738428E-03,1173842.8,11738.428,1173.8428,1.1738428,9.103646E-04,3.017225E-02,1.169075,1169.075
2461,677.690107724252,1115.6099,11.156099,1.1156099,1.1156099E-03,1115609.9,11156.099,1115.6099,1.1156099,1.3146751E-03,3.6258448E-02,1.10726,1107.26
2451,674.936389285714,1090.439,10.904389,1.090439,1.0904389E-03,1090439.0,10904.39,1090.439,1.090439,1.3620198E-04,1.1670561E-02,1.089665,1089.665
2441,672.182670847176,1117.398,11.173979,1.1173979,1.1173979E-03,1117397.9,11173.9795,1117.398,1.1173979,1.6483555E-04,1.283883E-02,1.115421,1115.421
2431,669.428952408638,1047.452,10.47452,1.047452,1.047452E-03,1047452.0,10474.52,1047.452,1.047452,1.6592492E-04,1.2881185E-02,1.045693,1045.693
2421,666.6752339701,1149.8593,11.498592,1.1498593,1.1498593E-03,1149859.3,11498.593,1149.8593,1.1498593,1.6833801E-04,1.2974514E-02,1.14825,1148.25
2411,663.921515531561,1052.2666,10.522666,1.0522666,1.0522666E-03,1052266.6,10522.666,1052.2666,1.0522666,1.4225378E-04,1.1927019E-02,1.050674,1050.674
2401,661.167797093023,1094.536,10.94536,1.0945361,1.094536E-03,1094536.1,10945.36,1094.536,1.0945361,1.8292204E-04,1.3524868E-02,1.093539,1093.539
2391,658.414078654485,1154.1559,11.541559,1.154156,1.1541559E-03,1154156.0,11541.56,1154.156,1.154156,1.372459E-04,1.1715199E-02,1.153222,1153.2219
2381,655.660360215947,1061.0015,10.610014,1.0610014,1.0610014E-03,1061001.4,10610.015,1061.0015,1.0610014,1.170464E-04,1.0818798E-02,1.061328,1061.328
2371,652.906641777409,1055.9149,10.559149,1.0559149,1.0559149E-03,1055914.9,10559.148,1055.9149,1.0559149,3.649039E-04,1.9102458E-02,1.049218,1049.218
2361,650.15292333887,1061.9161,10.619162,1.0619161,1.0619161E-03,1061916.1,10619.161,1061.9161,1.0619161,1.0724201E-04,1.03557715E-02,1.063726,1063.726
2351,647.399204900332,1089.4233,10.894233,1.0894233,1.0894233E-03,1089423.3,10894.233,1089.4233,1.0894233,1.0504364E-04,1.024908E-02,1.089409,1089.4089
2341,644.645486461794,1060.2974,10.602974,1.0602974,1.0602974E-03,1060297.4,10602.974,1060.2974,1.0602974,7.7312645E-05,8.792761E-03,1.0607,1060.7001
2331,641.891768023256,1066.7549,10.667549,1.0667549,1.0667549E-03,1066754.9,10667.55,1066.7549,1.0667549,9.5386196E-05,9.766586E-03,1.064413,1064.413
2321,639.138049584718,1073.0319,10.730319,1.0730319,1.0730319E-03,1073031.9,10730.319,1073.0319,1.0730319,4.2107276E-04,2.0520058E-02,1.068195,1068.195
2311,636.384331146179,1061.1825,10.611825,1.0611825,1.0611825E-03,1061182.5,10611.825,1061.1825,1.0611825,1.0020079E-04,1.0010035E-02,1.060909,1060.909
2301,633.630612707641,1034.888,10.34888,1.034888,1.034888E-03,1034888.0,10348.88,1034.8881,1.034888,9.772814E-05,9.885754E-03,1.034579,1034.579
2291,630.876894269103,1028.8787,10.288786,1.0288786,1.0288786E-03,1028878.56,10288.786,1028.8785,1.0288786,1.7027541E-04,1.3048962E-02,1.025808,1025.808
2281,628.123175830565,998.58966,9.985897,0.9985897,9.985897E-04,998589.6,9985.896,998.58966,0.99858963,6.8142463E-04,2.6104111E-02,0.992438,992.438
2271,625.369457392027,1016.8506,10.168506,1.0168506,1.0168506E-03,1016850.56,10168.506,1016.8506,1.0168506,1.9121965E-04,1.3828219E-02,1.016444,1016.444
2261,622.615738953488,997.2586,9.972586,0.9972586,9.972586E-04,997258.56,9972.585,997.25854,0.99725854,1.5881426E-04,1.2602153E-02,0.997439,997.439
2251,619.86202051495,1024.5918,10.245917,1.0245917,1.0245917E-03,1024591.7,10245.917,1024.5917,1.0245917,1.3702425E-04,1.1705736E-02,1.022877,1022.87695
2241,617.108302076412,1021.2562,10.212562,1.0212562,1.0212562E-03,1021256.2,10212.5625,1021.2562,1.0212562,1.44709E-04,1.2029505E-02,1.021205,1021.20496
2231,614.354583637874,1003.7094,10.037094,1.0037094,1.0037094E-03,1003709.44,10037.095,1003.7094,1.0037094,1.5742276E-04,1.2546822E-02,1.002971,1002.97107
2221,611.600865199336,974.8674,9.748673,0.9748674,9.748674E-04,974867.4,9748.674,974.86743,0.9748674,1.0664968E-04,1.0327133E-02,0.971662,971.662
2211,608.847146760797,1084.5021,10.845021,1.0845021,1.0845021E-03,1084502.1,10845.021,1084.5021,1.0845021,1.9413682E-04,1.3933299E-02,1.081725,1081.725
2201,606.093428322259,953.26215,9.532621,0.95326215,9.5326215E-04,953262.1,9532.621,953.26215,0.95326215,2.7381183E-04,1.654726E-02,0.949853,949.853
2191,603.339709883721,961.8703,9.618703,0.9618703,9.618703E-04,961870.3,9618.703,961.8703,0.9618703,1.4703811E-04,1.2125927E-02,0.958098,958.098
2181,600.585991445183,937.70734,9.377073,0.9377073,9.377073E-04,937707.3,9377.073,937.7073,0.9377073,7.7518576E-04,2.7842158E-02,0.930117,930.117
2171,597.832273006645,979.20526,9.792052,0.97920525,9.792052E-04,979205.2,9792.052,979.2052,0.9792052,9.2680195E-05,9.627055E-03,0.979036,979.03595
2161,595.078554568106,973.6288,9.736288,0.97362876,9.736288E-04,973628.75,9736.287,973.6288,0.97362876,7.7647295E-05,8.81177E-03,0.973084,973.084
2151,592.324836129568,1008.8454,10.088454,1.0088454,1.0088454E-03,1008845.44,10088.454,1008.84546,1.0088454,1.0353774E-04,1.017535E-02,1.008198,1008.198
2141,589.57111769103,874.3708,8.743708,0.8743708,8.743708E-04,874370.8,8743.708,874.3708,0.8743708,7.908272E-05,8.892846E-03,0.87377,873.77
2131,586.817399252492,896.08887,8.960889,0.8960889,8.960889E-04,896088.9,8960.889,896.0889,0.8960889,1.09910434E-04,1.0483818E-02,0.89411,894.11005
2121,584.063680813953,974.67645,9.746764,0.97467643,9.7467646E-04,974676.44,9746.765,974.67645,0.97467643,9.5168376E-05,9.755428E-03,0.973295,973.295
2111,581.309962375415,870.11664,8.701166,0.87011665,8.7011664E-04,870116.6,8701.167,870.11664,0.87011665,6.890698E-05,8.301022E-03,0.869489,869.489
2101,578.556243936877,914.4032,9.144032,0.9144032,9.144032E-04,914403.2,9144.032,914.4032,0.9144032,5.1858882E-05,7.201311E-03,0.912704,912.704
2091,575.802525498339,955.8642,9.558642,0.9558642,9.558642E-04,955864.2,9558.642,955.8642,0.9558642,1.16032985E-04,1.077186E-02,0.954173,954.17303
2081,573.048807059801,934.0346,9.340345,0.9340346,9.340346E-04,934034.56,9340.346,934.0346,0.9340346,1.2531955E-04,1.1194621E-02,0.931139,931.139
2071,570.295088621262,974.8982,9.748981,0.97489816,9.7489817E-04,974898.2,9748.981,974.89813,0.97489816,5.47408E-04,2.3396753E-02,0.968753,968.753
2061,567.541370182724,898.03516,8.980351,0.89803517,8.980352E-04,898035.2,8980.352,898.03516,0.89803517,7.27182E-05,8.527497E-03,0.896211,896.211
2051,564.787651744186,889.308,8.89308,0.889308,8.89308E-04,889308.0,8893.08,889.308,0.889308,1.619387E-04,1.2725514E-02,0.885945,885.945
2041,562.033933305648,841.94385,8.419438,0.84194386,8.4194384E-04,841943.9,8419.438,841.94385,0.84194386,9.7371754E-05,9.867713E-03,0.840907,840.907
2031,559.28021486711,925.18414,9.251842,0.9251842,9.2518417E-04,925184.2,9251.842,925.1842,0.9251842,8.902011E-05,9.435047E-03,0.921827,921.827
2021,556.526496428571,878.13525,8.781353,0.87813526,8.7813527E-04,878135.25,8781.353,878.13525,0.87813526,9.887504E-05,9.943593E-03,0.878488,878.488
2011,553.772777990033,850.7054,8.507053,0.8507054,8.507054E-04,850705.4,8507.054,850.7054,0.8507054,1.0250566E-04,1.0124508E-02,0.850268,850.268
2001,551.019059551495,868.95056,8.689506,0.86895055,8.6895056E-04,868950.56,8689.506,868.95056,0.86895055,7.8139405E-05,8.839649E-03,0.867392,867.392
