n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
2391, 1177.0354, 11.770354, 1.1770353, 1.1770354e-3, 353110.63, 3531.1062, 353.11063, 0.3531106, 1.0842363e-4, 1.0412667e-2, 0.352374, 352.374
2381, 1098.7343, 10.987342, 1.0987343, 1.0987342e-3, 329620.28, 3296.2026, 329.62027, 0.32962027, 6.1716986e-5, 7.856016e-3, 0.33075, 330.75
2371, 1167.6273, 11.676272, 1.1676273, 1.1676273e-3, 350288.2, 3502.8818, 350.28818, 0.35028818, 4.743614e-5, 6.88739e-3, 0.350462, 350.46198
2361, 1103.5087, 11.035087, 1.1035086, 1.1035086e-3, 331052.6, 3310.5261, 331.0526, 0.3310526, 5.5494897e-5, 7.4494896e-3, 0.328608, 328.608
2351, 1197.8503, 11.978503, 1.1978503, 1.1978503e-3, 359355.1, 3593.551, 359.3551, 0.3593551, 1.0099162e-4, 1.0049459e-2, 0.35774, 357.74002
2341, 1180.9078, 11.809078, 1.1809078, 1.1809078e-3, 354272.34, 3542.7234, 354.27234, 0.35427234, 4.2144486e-5, 6.4918785e-3, 0.353434, 353.434
2331, 1176.2765, 11.762765, 1.1762764, 1.1762765e-3, 352882.94, 3528.8296, 352.88297, 0.35288295, 6.525588e-5, 8.078111e-3, 0.351414, 351.414
2321, 1203.9993, 12.039992, 1.2039993, 1.2039993e-3, 361199.78, 3611.998, 361.1998, 0.3611998, 8.978139e-5, 9.475304e-3, 0.360857, 360.857
2311, 1091.6741, 10.91674, 1.0916741, 1.0916741e-3, 327502.22, 3275.0222, 327.50223, 0.32750222, 7.8500896e-5, 8.860073e-3, 0.324955, 324.955
2301, 1116.142, 11.16142, 1.116142, 1.116142e-3, 334842.6, 3348.426, 334.8426, 0.3348426, 7.361241e-5, 8.579767e-3, 0.334876, 334.876
2291, 1113.0281, 11.1302805, 1.113028, 1.113028e-3, 333908.4, 3339.084, 333.90842, 0.3339084, 3.53009e-5, 5.941456e-3, 0.333232, 333.232
2281, 1114.2659, 11.142659, 1.1142659, 1.1142659e-3, 334279.75, 3342.7974, 334.27975, 0.33427975, 8.093528e-5, 8.996404e-3, 0.333695, 333.695
2271, 1100.8037, 11.008038, 1.1008037, 1.1008037e-3, 330241.13, 3302.4111, 330.24112, 0.3302411, 5.832319e-5, 7.636962e-3, 0.329003, 329.00302
2261, 1196.7781, 11.96778, 1.196778, 1.196778e-3, 359033.4, 3590.334, 359.03342, 0.3590334, 4.982734e-5, 7.058848e-3, 0.358218, 358.21802
2251, 1128.031, 11.280311, 1.128031, 1.128031e-3, 338409.3, 3384.093, 338.4093, 0.3384093, 4.3869724e-5, 6.6234223e-3, 0.338014, 338.014
2241, 1086.8707, 10.868707, 1.0868707, 1.0868707e-3, 326061.22, 3260.6123, 326.06122, 0.32606122, 5.007169e-5, 7.0761354e-3, 0.324738, 324.738
2231, 1043.1385, 10.431386, 1.0431385, 1.0431386e-3, 312941.6, 3129.4158, 312.9416, 0.31294158, 1.140294e-4, 1.0678455e-2, 0.31025, 310.25
2221, 1061.5364, 10.615364, 1.0615363, 1.0615364e-3, 318460.9, 3184.6091, 318.4609, 0.3184609, 7.0637754e-5, 8.4046265e-3, 0.318582, 318.582
2211, 1085.1094, 10.851094, 1.0851095, 1.0851094e-3, 325532.8, 3255.3281, 325.53284, 0.32553282, 5.077974e-5, 7.1259905e-3, 0.325185, 325.185
2201, 1009.07697, 10.09077, 1.009077, 1.009077e-3, 302723.1, 3027.2307, 302.72308, 0.30272308, 4.258746e-5, 6.5259067e-3, 0.301171, 301.171
2191, 1120.5879, 11.205879, 1.120588, 1.1205879e-3, 336176.4, 3361.764, 336.1764, 0.3361764, 7.0785725e-5, 8.413426e-3, 0.335946, 335.94598
2181, 1022.64703, 10.22647, 1.022647, 1.022647e-3, 306794.1, 3067.9412, 306.7941, 0.3067941, 3.8307273e-5, 6.189287e-3, 0.306822, 306.822
2171, 1031.4453, 10.314453, 1.0314454, 1.0314453e-3, 309433.6, 3094.3362, 309.43362, 0.3094336, 4.4111188e-5, 6.6416254e-3, 0.309584, 309.58398
2161, 1056.4075, 10.5640745, 1.0564075, 1.0564075e-3, 316922.25, 3169.2224, 316.92224, 0.31692225, 8.163393e-5, 9.03515e-3, 0.315273, 315.27298
2151, 1089.0239, 10.890239, 1.089024, 1.0890239e-3, 326707.16, 3267.0715, 326.70715, 0.32670715, 5.4980228e-5, 7.4148653e-3, 0.326807, 326.807
2141, 942.4892, 9.424891, 0.9424892, 9.424892e-4, 282746.75, 2827.4675, 282.74677, 0.28274676, 2.2567045e-4, 1.5022332e-2, 0.279091, 279.091
2131, 1018.5157, 10.185157, 1.0185157, 1.0185157e-3, 305554.72, 3055.547, 305.55472, 0.30555472, 3.5908644e-5, 5.9923823e-3, 0.30504, 305.04
2121, 1080.7394, 10.807394, 1.0807394, 1.0807394e-3, 324221.8, 3242.2183, 324.22183, 0.32422182, 5.7706005e-5, 7.5964467e-3, 0.324366, 324.366
2111, 986.5409, 9.865409, 0.9865409, 9.865409e-4, 295962.28, 2959.6228, 295.96228, 0.29596227, 5.2847176e-5, 7.2696065e-3, 0.29438, 294.38
2101, 1062.3911, 10.623911, 1.062391, 1.0623911e-3, 318717.34, 3187.1733, 318.71732, 0.31871733, 5.369851e-5, 7.327927e-3, 0.318271, 318.271
2091, 1021.53186, 10.215319, 1.0215318, 1.0215319e-3, 306459.56, 3064.5957, 306.45956, 0.30645958, 8.84636e-5, 9.40551e-3, 0.303899, 303.899
2081, 976.9865, 9.769865, 0.97698647, 9.769865e-4, 293095.94, 2930.9595, 293.09595, 0.29309595, 4.562433e-5, 6.7545786e-3, 0.292936, 292.936
2071, 1034.6467, 10.346468, 1.0346467, 1.0346468e-3, 310394.03, 3103.9402, 310.394, 0.31039402, 4.5111767e-5, 6.7165294e-3, 0.31018, 310.18002
2061, 968.79645, 9.687964, 0.96879643, 9.6879643e-4, 290638.94, 2906.3892, 290.63892, 0.29063892, 4.0450126e-5, 6.3600414e-3, 0.288776, 288.776
2051, 978.38684, 9.783869, 0.9783868, 9.783868e-4, 293516.03, 2935.1604, 293.51605, 0.29351604, 8.845033e-5, 9.404804e-3, 0.292957, 292.957
2041, 908.51575, 9.085157, 0.90851575, 9.0851577e-4, 272554.72, 2725.5474, 272.55472, 0.27255473, 5.979659e-5, 7.732826e-3, 0.272133, 272.133
2031, 996.2651, 9.962651, 0.9962651, 9.962651e-4, 298879.53, 2988.7954, 298.87955, 0.29887953, 4.267642e-5, 6.5327194e-3, 0.297999, 297.999
2021, 954.2047, 9.5420475, 0.9542047, 9.542047e-4, 286261.4, 2862.614, 286.2614, 0.2862614, 6.8131994e-5, 8.25421e-3, 0.284042, 284.042
2011, 962.5659, 9.625659, 0.96256596, 9.6256594e-4, 288769.78, 2887.6978, 288.76978, 0.28876978, 3.757591e-5, 6.129919e-3, 0.289586, 289.586
2001, 934.66425, 9.3466425, 0.9346642, 9.346642e-4, 280399.25, 2803.9927, 280.39926, 0.28039926, 4.2786127e-5, 6.5411106e-3, 0.278791, 278.79102
1991, 973.786, 9.73786, 0.973786, 9.73786e-4, 292135.8, 2921.3582, 292.1358, 0.2921358, 9.765577e-4, 3.1249924e-2, 0.284025, 284.02502
1981, 900.5119, 9.005119, 0.9005119, 9.005119e-4, 270153.6, 2701.536, 270.1536, 0.27015358, 4.7565693e-5, 6.8967887e-3, 0.270346, 270.34598
1971, 876.945, 8.76945, 0.87694496, 8.76945e-4, 263083.5, 2630.835, 263.0835, 0.2630835, 5.805813e-5, 7.6195886e-3, 0.26142, 261.42
1961, 869.1337, 8.691338, 0.8691338, 8.6913374e-4, 260740.13, 2607.4014, 260.74014, 0.26074013, 3.089903e-5, 5.5586896e-3, 0.26042, 260.41998
1951, 917.85, 9.178499, 0.91784996, 9.1784995e-4, 275354.97, 2753.5498, 275.35498, 0.27535498, 3.105142e-5, 5.57238e-3, 0.273663, 273.66302
1941, 932.0725, 9.320725, 0.9320725, 9.320725e-4, 279621.75, 2796.2175, 279.62177, 0.27962175, 4.355337e-5, 6.5994975e-3, 0.278364, 278.364
1931, 836.4099, 8.3640995, 0.8364099, 8.364099e-4, 250922.98, 2509.2297, 250.92297, 0.25092298, 4.395052e-5, 6.6295187e-3, 0.250421, 250.42099
1921, 936.3658, 9.363658, 0.9363658, 9.363658e-4, 280909.75, 2809.0974, 280.90976, 0.28090975, 2.9424178e-5, 5.424406e-3, 0.279899, 279.899
1911, 863.8178, 8.638178, 0.8638178, 8.638178e-4, 259145.34, 2591.4536, 259.14536, 0.25914535, 6.1920386e-5, 7.868951e-3, 0.259562, 259.56198
1901, 869.2015, 8.692015, 0.8692015, 8.692015e-4, 260760.45, 2607.6045, 260.76047, 0.26076046, 4.1685707e-5, 6.456447e-3, 0.260105, 260.105
1891, 918.8178, 9.188178, 0.9188178, 9.188178e-4, 275645.34, 2756.4534, 275.64536, 0.27564535, 3.151266e-5, 5.613614e-3, 0.274027, 274.02698
1881, 846.94037, 8.469404, 0.8469404, 8.469404e-4, 254082.11, 2540.821, 254.0821, 0.2540821, 2.603532e-5, 5.1024817e-3, 0.25409, 254.09001
1871, 857.0794, 8.570794, 0.8570794, 8.570794e-4, 257123.83, 2571.2383, 257.12384, 0.25712383, 3.996843e-5, 6.322059e-3, 0.255412, 255.41202
1861, 824.18524, 8.241853, 0.82418525, 8.2418526e-4, 247255.58, 2472.556, 247.25558, 0.24725558, 4.6899506e-5, 6.8483213e-3, 0.248112, 248.112
1851, 819.18365, 8.191836, 0.81918365, 8.1918365e-4, 245755.1, 2457.551, 245.7551, 0.24575509, 4.8248658e-5, 6.9461255e-3, 0.245037, 245.037
1841, 798.3035, 7.983035, 0.79830354, 7.983035e-4, 239491.06, 2394.9106, 239.49106, 0.23949106, 3.7181315e-5, 6.0976483e-3, 0.238975, 238.975
1831, 873.4334, 8.734334, 0.8734334, 8.734334e-4, 262030.03, 2620.3003, 262.03003, 0.26203004, 7.1853436e-5, 8.476641e-3, 0.262323, 262.323
1821, 920.70154, 9.207015, 0.92070156, 9.2070154e-4, 276210.47, 2762.1045, 276.21045, 0.27621046, 3.605512e-5, 6.0045915e-3, 0.275927, 275.927
1811, 928.79645, 9.287964, 0.9287964, 9.287964e-4, 278638.94, 2786.3894, 278.63892, 0.27863893, 3.2422442e-5, 5.694071e-3, 0.278243, 278.243
1801, 889.29205, 8.8929205, 0.88929206, 8.8929205e-4, 266787.63, 2667.8762, 266.78763, 0.26678762, 7.875501e-5, 8.874401e-3, 0.263739, 263.73898
1791, 860.906, 8.60906, 0.860906, 8.6090603e-4, 258271.81, 2582.718, 258.27182, 0.2582718, 3.4316174e-5, 5.858001e-3, 0.257189, 257.189
1781, 806.9053, 8.069053, 0.80690527, 8.069053e-4, 242071.58, 2420.7158, 242.07158, 0.24207158, 3.670679e-5, 6.058613e-3, 0.241738, 241.738
1771, 815.46936, 8.154694, 0.8154694, 8.1546936e-4, 244640.81, 2446.4082, 244.64081, 0.24464081, 4.3154036e-5, 6.569173e-3, 0.243577, 243.577
1761, 826.5454, 8.265454, 0.8265454, 8.265454e-4, 247963.63, 2479.6362, 247.96362, 0.24796362, 5.2973937e-5, 7.2783194e-3, 0.247569, 247.569
1751, 758.1017, 7.581017, 0.7581017, 7.581017e-4, 227430.5, 2274.3052, 227.43051, 0.22743051, 6.0095208e-5, 7.75211e-3, 0.225992, 225.99199
1741, 795.07227, 7.950722, 0.79507226, 7.9507224e-4, 238521.67, 2385.2166, 238.52167, 0.23852167, 4.0782186e-5, 6.3860933e-3, 0.238645, 238.645
1731, 834.0849, 8.340849, 0.83408487, 8.340849e-4, 250225.45, 2502.2546, 250.22545, 0.25022545, 2.6810618e-5, 5.177897e-3, 0.250131, 250.13101
1721, 798.5639, 7.9856386, 0.7985639, 7.985639e-4, 239569.16, 2395.6917, 239.56915, 0.23956916, 3.6904e-5, 6.0748663e-3, 0.239526, 239.526
1711, 827.33514, 8.273352, 0.8273352, 8.2733517e-4, 248200.55, 2482.0056, 248.20055, 0.24820055, 4.835939e-5, 6.9540916e-3, 0.24724, 247.24
1701, 792.9342, 7.9293423, 0.79293424, 7.929342e-4, 237880.27, 2378.8025, 237.88026, 0.23788026, 4.0970604e-5, 6.4008282e-3, 0.236583, 236.583
1691, 799.4652, 7.9946523, 0.79946524, 7.994652e-4, 239839.56, 2398.3958, 239.83957, 0.23983957, 4.0789902e-5, 6.3866973e-3, 0.239555, 239.55501
1681, 724.8563, 7.2485633, 0.7248563, 7.2485633e-4, 217456.89, 2174.5688, 217.4569, 0.21745689, 3.5767815e-5, 5.9806197e-3, 0.216343, 216.343
1671, 767.32635, 7.6732635, 0.76732635, 7.6732633e-4, 230197.89, 2301.979, 230.19789, 0.23019789, 3.1297885e-5, 5.5944514e-3, 0.230666, 230.666
1661, 757.8449, 7.578449, 0.75784487, 7.578449e-4, 227353.47, 2273.5347, 227.35347, 0.22735347, 4.2164254e-5, 6.493401e-3, 0.225904, 225.904
