n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
651,922.3368,744.46606,7.4446607,0.74446607,7.444661E-04,744466.06,7444.6606,744.46606,0.74446607,2.0317404E-04,1.4253913E-02,0.745208,745.208,0.745208,745.208
641,908.1688,738.00305,7.3800306,0.7380031,7.3800306E-04,738003.06,7380.031,738.00305,0.7380031,2.0267136E-04,1.42362695E-02,0.739481,739.48096,0.739481,739.48096
631,894.0008,730.4308,7.3043075,0.7304308,7.3043077E-04,730430.8,7304.3076,730.4308,0.7304308,1.8519688E-04,1.3608706E-02,0.730973,730.973,0.730973,730.973
621,879.8328,724.16156,7.241616,0.72416157,7.2416157E-04,724161.56,7241.6157,724.16156,0.72416157,1.8074604E-04,1.3444182E-02,0.725292,725.29205,0.725292,725.292
611,865.6648,713.60175,7.136018,0.71360177,7.1360177E-04,713601.75,7136.0176,713.60175,0.71360177,2.5809926E-04,1.6065467E-02,0.71065,710.65,0.71065,710.65
601,851.4968,706.4024,7.064024,0.7064024,7.064024E-04,706402.44,7064.0244,706.4024,0.7064024,2.1036818E-04,1.4504074E-02,0.710078,710.078,0.710078,710.078
591,837.3288,696.59283,6.9659286,0.69659287,6.9659285E-04,696592.9,6965.9287,696.5929,0.69659287,1.657311E-04,1.2873659E-02,0.697294,697.294,0.697294,697.294
581,823.1608,692.6156,6.9261556,0.69261557,6.926156E-04,692615.56,6926.156,692.61554,0.69261557,1.733113E-04,1.3164775E-02,0.690662,690.66205,0.690662,690.662
571,808.9928,679.4389,6.7943892,0.67943895,6.7943893E-04,679438.94,6794.3896,679.43896,0.67943895,1.610921E-04,1.2692207E-02,0.680135,680.135,0.680135,680.135
561,794.8248,666.5603,6.665603,0.6665603,6.665603E-04,666560.3,6665.603,666.5603,0.6665603,1.341244E-04,1.15812095E-02,0.666571,666.57104,0.666571,666.57104
551,780.6568,661.75714,6.6175714,0.6617571,6.6175713E-04,661757.1,6617.5713,661.75714,0.6617571,1.2485382E-04,1.1173801E-02,0.661799,661.799,0.661799,661.799
541,766.4888,653.68097,6.53681,0.653681,6.53681E-04,653681.0,6536.8096,653.68097,0.653681,2.363931E-04,1.53750805E-02,0.657238,657.23804,0.657238,657.23804
531,752.3208,649.1205,6.4912047,0.6491205,6.491205E-04,649120.5,6491.205,649.1205,0.6491205,1.9757022E-04,1.4055967E-02,0.650526,650.526,0.650526,650.52594
521,738.1528,640.41675,6.4041677,0.64041674,6.4041675E-04,640416.75,6404.1675,640.41675,0.64041674,3.1534676E-04,1.7758006E-02,0.640139,640.139,0.640139,640.139
511,723.9848,629.242,6.29242,0.629242,6.29242E-04,629242.0,6292.42,629.242,0.629242,1.872741E-04,1.3684813E-02,0.626416,626.416,0.626416,626.416
501,709.8168,619.4069,6.1940694,0.61940694,6.194069E-04,619406.94,6194.0693,619.4069,0.61940694,1.8662305E-04,1.3661005E-02,0.619188,619.188,0.619188,619.188
491,695.6488,608.1813,6.081813,0.6081813,6.081813E-04,608181.3,6081.813,608.1813,0.6081813,1.9655698E-04,1.4019879E-02,0.61158,611.58,0.61158,611.58
481,681.4808,602.133,6.02133,0.602133,6.02133E-04,602133.0,6021.3296,602.133,0.602133,1.6708158E-04,1.2926004E-02,0.601416,601.416,0.601416,601.416
471,667.3128,597.92676,5.979268,0.5979268,5.979268E-04,597926.8,5979.268,597.9268,0.5979268,8.8875204E-05,9.427365E-03,0.597504,597.504,0.597504,597.504
461,653.1448,591.43884,5.9143887,0.59143883,5.9143885E-04,591438.8,5914.388,591.43884,0.59143883,1.3779252E-04,1.1738506E-02,0.588795,588.795,0.588795,588.795
451,638.9768,578.74365,5.7874365,0.57874364,5.7874364E-04,578743.6,5787.4365,578.74365,0.57874364,1.6696873E-04,1.2921638E-02,0.578605,578.605,0.578605,578.605
441,624.8088,566.3997,5.663997,0.5663997,5.663997E-04,566399.7,5663.997,566.3997,0.5663997,1.9299715E-04,1.3892341E-02,0.565791,565.791,0.565791,565.791
431,610.6408,554.9253,5.549253,0.5549253,5.549253E-04,554925.3,5549.2534,554.9253,0.5549253,1.1387129E-04,1.0671049E-02,0.557772,557.772,0.557772,557.772
421,596.4728,555.8642,5.558642,0.5558642,5.558642E-04,555864.2,5558.642,555.8642,0.5558642,1.9103353E-04,1.3821488E-02,0.552754,552.75397,0.552754,552.75397
411,582.3048,535.0683,5.3506827,0.5350683,5.350683E-04,535068.25,5350.6826,535.0683,0.5350683,1.0342351E-04,1.0169735E-02,0.536604,536.604,0.536604,536.60394
401,568.1368,527.9558,5.279558,0.52795583,5.279558E-04,527955.8,5279.558,527.9558,0.52795583,1.123772E-04,1.0600812E-02,0.527515,527.515,0.527515,527.515
391,553.9688,511.5483,5.1154833,0.5115483,5.115483E-04,511548.28,5115.483,511.54828,0.5115483,8.8807625E-05,9.423779E-03,0.512285,512.285,0.512285,512.285
381,539.8008,504.64685,5.0464687,0.50464684,5.0464686E-04,504646.84,5046.4683,504.64685,0.50464684,8.317484E-05,9.120024E-03,0.504252,504.252,0.504252,504.25204
