n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
3011,6656.28193127273,3256.0476,32.560474,3.2560477,3.2560476E-03,3256047.8,32560.477,3256.0476,3.2560477,5.9859763E-04,2.4466256E-02,3.258576,3258.576
3001,6634.17538218182,3326.6672,33.266674,3.3266673,3.3266672E-03,3326667.3,33266.67,3326.6672,3.3266673,1.1878338E-03,3.4464967E-02,3.321883,3321.883
2991,6612.06883309091,3304.475,33.04475,3.304475,3.304475E-03,3304475.0,33044.75,3304.475,3.304475,4.4936128E-04,2.1198144E-02,3.299837,3299.8372
2981,6589.962284,3274.2808,32.74281,3.2742808,3.2742808E-03,3274280.8,32742.809,3274.2808,3.2742808,7.733853E-04,2.7809806E-02,3.270501,3270.501
2971,6567.85573490909,3230.1418,32.30142,3.2301419,3.230142E-03,3230142.0,32301.418,3230.1418,3.2301419,2.4919796E-03,4.9919732E-02,3.220712,3220.712
2961,6545.74918581818,3279.4446,32.794445,3.2794445,3.2794445E-03,3279444.5,32794.445,3279.4443,3.2794445,4.0971593E-04,2.0241441E-02,3.280008,3280.008
2951,6523.64263672727,3178.0251,31.78025,3.1780252,3.1780251E-03,3178025.3,31780.252,3178.0251,3.1780252,3.40043E-04,1.8440256E-02,3.176595,3176.595
2941,6501.53608763636,3242.0593,32.420593,3.2420595,3.2420594E-03,3242059.5,32420.594,3242.0596,3.2420595,6.335668E-04,2.5170753E-02,3.238535,3238.535
2931,6479.42953854545,3154.0227,31.540226,3.1540227,3.1540226E-03,3154022.8,31540.227,3154.0227,3.1540227,1.2999555E-03,3.6054894E-02,3.149839,3149.8389
2921,6457.32298945455,3201.045,32.01045,3.2010448,3.2010449E-03,3201044.8,32010.447,3201.0447,3.2010448,4.3724824E-04,2.0910481E-02,3.202165,3202.1648
2911,6435.21644036364,3130.8962,31.308962,3.1308963,3.1308962E-03,3130896.3,31308.963,3130.8962,3.1308963,3.8274378E-04,1.9563839E-02,3.129308,3129.308
2901,6413.10989127273,3182.5417,31.825418,3.1825418,3.1825418E-03,3182541.8,31825.418,3182.5417,3.1825418,8.9114776E-04,2.9852098E-02,3.178336,3178.336
2891,6391.00334218182,3096.776,30.967758,3.0967758,3.0967759E-03,3096775.8,30967.758,3096.776,3.0967758,3.718919E-04,1.9284498E-02,3.095181,3095.181
2881,6368.89679309091,3095.738,30.95738,3.0957382,3.0957381E-03,3095738.3,30957.38,3095.7383,3.0957382,3.2654536E-04,1.8070566E-02,3.093818,3093.8179
2871,6346.790244,3223.469,32.23469,3.223469,3.223469E-03,3223469.0,32234.69,3223.469,3.223469,8.176385E-04,2.8594378E-02,3.21858,3218.58
2861,6324.68369490909,3098.557,30.98557,3.098557,3.098557E-03,3098557.0,30985.57,3098.557,3.098557,4.1507187E-04,2.0373313E-02,3.097384,3097.384
