n,m, mean, variance, stdDev
2141,0.0318100690481818,1.537912,2.1706842E-04,1.4733242E-02
2151,0.0319586448027273,1.6066428,2.2100547E-04,1.4866252E-02
2161,0.0321072205572727,1.5937485,6.306673E-04,2.511309E-02
2171,0.0322557963118182,1.6259041,2.9834994E-04,1.727281E-02
2181,0.0324043720663636,1.6768662,1.5582283E-04,1.2482901E-02
2191,0.0325529478209091,1.6903503,2.1433759E-04,1.4640273E-02
2201,0.0327015235754545,1.6746471,2.4842148E-04,1.5761392E-02
2211,0.03285009933,1.7192672,2.2030996E-04,1.4842842E-02
2221,0.0329986750845455,1.7083455,9.461643E-04,3.0759783E-02
2231,0.0331472508390909,1.70277,1.9350176E-04,1.3910491E-02
2241,0.0332958265936364,1.7072465,7.284796E-04,2.6990362E-02
2251,0.0334444023481818,1.7727648,1.3215918E-04,1.1496051E-02
2261,0.0335929781027273,1.773503,2.2491293E-04,1.4997098E-02
2271,0.0337415538572727,1.7720597,1.9276471E-04,1.38839735E-02
2281,0.0338901296118182,1.8290735,1.1898407E-03,3.449407E-02
2291,0.0340387053663636,1.8735101,6.7531836E-04,2.5986888E-02
2301,0.0341872811209091,1.9344604,4.0925764E-03,6.397325E-02
2311,0.0343358568754545,1.9409152,4.6052793E-03,6.7862205E-02
2321,0.03448443263,1.9065986,4.374762E-04,2.0915931E-02
2331,0.0346330083845455,1.9157712,3.7367523E-04,1.933068E-02
2341,0.0347815841390909,1.9174501,5.7932157E-05,7.6113176E-03
2351,0.0349301598936364,1.8972743,5.114144E-05,7.1513243E-03
2361,0.0350787356481818,1.9843993,1.1778562E-04,1.0852908E-02
2371,0.0352273114027273,1.961168,8.6063123E-04,2.9336518E-02
2381,0.0353758871572727,1.9701152,1.0179093E-03,3.190469E-02
2391,0.0355244629118182,2.0013874,9.140371E-05,9.560528E-03
2401,0.0356730386663636,2.017083,9.5310344E-05,9.762702E-03
2411,0.0358216144209091,2.0427253,5.713402E-04,2.3902724E-02
2421,0.0359701901754545,1.9958167,8.8071385E-05,9.384636E-03
2431,0.03611876593,2.025398,4.972979E-04,2.2300178E-02
2441,0.0362673416845455,2.0491345,5.9347585E-05,7.7037383E-03
2451,0.0364159174390909,2.0900605,5.730708E-05,7.570144E-03
2461,0.0365644931936364,2.0596137,9.32468E-05,9.656439E-03
2471,0.0367130689481818,2.1486146,1.5506592E-04,1.24525465E-02
2481,0.0368616447027273,2.1713288,1.3017434E-03,3.6079682E-02
2491,0.0370102204572727,2.1661687,6.341449E-05,7.963321E-03
2501,0.0371587962118182,2.1443248,1.4981421E-04,1.2239861E-02
2511,0.0373073719663636,2.1943638,6.683667E-04,2.5852788E-02
2521,0.0374559477209091,2.1426985,1.3495727E-04,1.1617111E-02
2531,0.0376045234754545,2.2454925,6.198181E-04,2.4896147E-02
2541,0.03775309923,2.2803464,1.0614099E-04,1.0302475E-02
2551,0.0379016749845455,2.2544706,8.357271E-05,9.141811E-03
2561,0.0380502507390909,2.2399712,5.4876495E-04,2.3425732E-02
2571,0.0381988264936364,2.3221095,2.083008E-03,4.563998E-02
2581,0.0383474022481818,2.3228853,1.03250604E-04,1.016123E-02
2591,0.0384959780027273,2.385431,4.7061414E-05,6.8601323E-03
2601,0.0386445537572727,2.3787432,1.6497026E-04,1.28440745E-02
2611,0.0387931295118182,2.3908584,9.099104E-04,3.0164722E-02
2621,0.0389417052663636,2.409311,5.43566E-05,7.3726927E-03
2631,0.0390902810209091,2.4169273,7.402095E-05,8.603543E-03
2641,0.0392388567754545,2.483241,1.05841646E-04,1.0287937E-02
2651,0.03938743253,2.4675047,2.0167378E-03,4.4908103E-02
2661,0.0395360082845455,2.4856267,1.0844875E-04,1.0413873E-02
2671,0.0396845840390909,2.5220082,5.79933E-04,2.4081798E-02
2681,0.0398331597936364,2.4973357,1.5563512E-04,1.2475381E-02
2691,0.0399817355481818,2.528779,5.739992E-04,2.395828E-02
2701,0.0401303113027273,2.5808828,8.5871856E-05,9.266707E-03
2711,0.0402788870572727,2.5177965,1.2011836E-04,1.09598525E-02
2721,0.0404274628118182,2.6674771,1.4556322E-04,1.2064958E-02
2731,0.0405760385663636,2.6505816,1.4070597E-03,3.7510794E-02
2741,0.0407246143209091,2.601606,7.776497E-05,8.818445E-03
2751,0.0408731900754545,2.6474376,9.934989E-05,9.967442E-03
2761,0.04102176583,2.7130306,1.6573165E-04,1.287368E-02
2771,0.0411703415845455,2.7317235,9.5405395E-04,3.0887764E-02
2781,0.0413189173390909,2.7556844,8.086763E-05,8.992643E-03
2791,0.0414674930936364,2.6986823,1.2484448E-04,1.1173382E-02
2801,0.0416160688481818,2.7215047,1.148598E-03,3.3890974E-02
2811,0.0417646446027273,2.7827985,2.360433E-04,1.5363701E-02
2821,0.0419132203572727,2.8233173,9.7390416E-04,3.1207437E-02
2831,0.0420617961118182,2.796167,1.6096763E-04,1.2687302E-02
2841,0.0422103718663636,2.8669765,4.067698E-03,6.3778505E-02
2851,0.0423589476209091,2.8260455,7.8289426E-04,2.7980248E-02
2861,0.0425075233754545,2.8881223,2.1512722E-04,1.4667216E-02
2871,0.04265609913,2.9431129,1.1723855E-03,3.4240115E-02
2881,0.0428046748845455,2.9763556,9.4358555E-05,9.713833E-03
2891,0.0429532506390909,2.9867058,1.14545735E-04,1.0702604E-02
2901,0.0431018263936364,2.9256272,2.6586294E-04,1.6305303E-02
2911,0.0432504021481818,3.0969822,1.0521914E-03,3.24375E-02
2921,0.0433989779027273,3.0053935,1.21725745E-04,1.1032939E-02
2931,0.0435475536572727,3.022938,9.2236855E-04,3.037052E-02
2941,0.0436961294118182,3.1262844,2.5041879E-03,5.004186E-02
2951,0.0438447051663636,3.0712276,1.3405812E-04,1.15783475E-02
2961,0.0439932809209091,3.1079466,2.1490929E-04,1.4659785E-02
2971,0.0441418566754545,3.1329973,8.317717E-04,2.8840452E-02
2981,0.04429043243,3.1981475,8.2414626E-04,2.8707948E-02
2991,0.0444390081845455,3.077215,1.3035987E-04,1.1417525E-02
3001,0.0445875839390909,3.193905,1.5773942E-03,3.9716423E-02
3011,0.0447361596936364,3.194598,1.9576895E-04,1.3991746E-02
