n, mean, variance, stdDev
11,8.873335E-05,8.767955E-10,2.9610734E-05
21,2.2979999E-04,2.3008933E-09,4.7967627E-05
31,4.151333E-04,4.5404485E-09,6.738285E-05
41,6.2766665E-04,9.617756E-09,9.807016E-05
51,9.466668E-04,8.997355E-09,9.485439E-05
61,1.1027667E-03,3.719045E-09,6.0983974E-05
71,1.5509333E-03,3.9798525E-08,1.9949568E-04
81,1.7229667E-03,2.6272302E-08,1.6208732E-04
91,2.0415334E-03,1.4326257E-08,1.1969234E-04
101,2.4398665E-03,2.6577714E-08,1.6302672E-04
111,3.0002333E-03,1.031354E-07,3.21147E-04
121,3.4412334E-03,1.349991E-07,3.6742224E-04
131,4.0944335E-03,5.0631115E-08,2.2501359E-04
141,4.4083665E-03,8.4072106E-08,2.8995192E-04
151,5.067E-03,9.461076E-08,3.0758863E-04
161,5.750467E-03,7.6402034E-07,8.7408256E-04
171,6.6803326E-03,1.4800771E-07,3.847177E-04
181,7.4150995E-03,1.7220654E-07,4.1497775E-04
191,7.097867E-03,2.2060723E-07,4.6968844E-04
201,9.254067E-03,1.864781E-06,1.3655699E-03
211,9.2356E-03,9.861917E-08,3.1403688E-04
221,1.00711E-02,7.4473536E-07,8.629805E-04
231,1.1683167E-02,1.0036293E-06,1.001813E-03
241,1.2929468E-02,4.0057722E-07,6.329117E-04
251,1.3540199E-02,2.5186984E-07,5.0186634E-04
261,1.4273968E-02,4.4157116E-07,6.645082E-04
271,1.5322766E-02,6.082481E-07,7.799026E-04
281,1.6310666E-02,8.8927555E-07,9.430141E-04
291,1.80195E-02,8.477828E-07,9.2075125E-04
301,1.855433E-02,5.0428093E-07,7.101274E-04
311,1.9098466E-02,1.3164608E-06,1.1473713E-03
321,2.0381602E-02,1.1871706E-06,1.0895736E-03
331,2.1701666E-02,1.7730126E-07,4.2107157E-04
341,2.3099635E-02,1.6730377E-06,1.2934596E-03
351,2.3479931E-02,9.0118306E-07,9.4930665E-04
361,2.684433E-02,1.9290117E-06,1.3888887E-03
371,2.5321268E-02,2.2485726E-06,1.4995241E-03
381,2.9056933E-02,5.5800397E-06,2.3622108E-03
391,3.0106269E-02,2.9779105E-06,1.7256624E-03
401,3.063133E-02,6.7072284E-07,8.189767E-04
411,3.372223E-02,6.1549244E-06,2.480912E-03
421,3.2662068E-02,3.1086013E-06,1.7631226E-03
431,3.65768E-02,8.8916E-06,2.9818786E-03
441,3.5338957E-02,2.9157893E-06,1.7075683E-03
451,3.9332636E-02,3.0895753E-06,1.7577187E-03
461,4.0521394E-02,2.2196461E-06,1.4898477E-03
471,4.3711208E-02,2.4361775E-06,1.5608259E-03
481,4.3535236E-02,3.6848453E-06,1.9195951E-03
491,4.5405433E-02,3.2798803E-06,1.8110439E-03
501,4.618813E-02,2.2047102E-06,1.4848267E-03
511,4.71045E-02,1.0286574E-05,3.207269E-03
521,4.8386298E-02,3.7638993E-06,1.9400772E-03
531,5.4904275E-02,4.2192373E-06,2.0540783E-03
541,5.1255997E-02,3.4142772E-06,1.8477762E-03
551,5.7304043E-02,4.2783463E-06,2.0684164E-03
561,5.916423E-02,7.3451333E-06,2.7101906E-03
571,6.23279E-02,3.899461E-06,1.9747051E-03
581,6.41171E-02,3.1485222E-06,1.7744076E-03
591,6.252893E-02,6.5708464E-06,2.5633662E-03
601,6.7269735E-02,4.073617E-06,2.0183204E-03
611,7.005934E-02,6.8466393E-06,2.6166083E-03
621,7.168073E-02,4.0740547E-06,2.0184289E-03
631,7.0022605E-02,7.3058227E-06,2.7029286E-03
641,7.332013E-02,5.5215205E-06,2.3497916E-03
651,7.288905E-02,8.1526005E-06,2.855276E-03
661,7.957561E-02,3.786851E-06,1.9459833E-03
671,8.355821E-02,6.760865E-06,2.6001662E-03
681,8.80014E-02,5.9211275E-06,2.4333368E-03
691,8.13495E-02,9.655647E-06,3.1073536E-03
701,9.363471E-02,6.841939E-06,2.61571E-03
711,8.981887E-02,5.58037E-06,2.3622806E-03
721,9.33137E-02,5.9433755E-06,2.437904E-03
731,8.9573905E-02,6.8979593E-06,2.6263967E-03
741,9.814263E-02,7.919379E-06,2.814139E-03
751,9.937827E-02,8.7766075E-06,2.9625339E-03
761,0.10971924,7.8899975E-06,2.8089138E-03
771,0.1122465,1.1672898E-05,3.4165622E-03
781,0.106496386,1.0643297E-05,3.2624067E-03
791,0.113754235,1.4947146E-05,3.866154E-03
801,0.11936247,1.1760179E-05,3.4293118E-03
811,0.12303016,5.091437E-05,7.1354304E-03
821,0.12304247,1.236025E-05,3.5157148E-03
831,0.12602668,2.8604967E-05,5.348361E-03
841,0.1292681,6.216378E-05,7.884401E-03
851,0.13267206,1.6831584E-05,4.1026315E-03
861,0.13564907,1.1260362E-05,3.3556463E-03
871,0.13741517,8.5294174E-05,9.2354845E-03
881,0.14686565,2.553847E-05,5.0535602E-03
891,0.14495179,2.6085074E-05,5.107355E-03
901,0.14743426,1.9421463E-05,4.406979E-03
911,0.14111257,2.5309204E-05,5.0308253E-03
921,0.16071256,7.362115E-05,8.580277E-03
931,0.1504342,3.093015E-05,5.561488E-03
941,0.15775372,1.3978604E-05,3.7387973E-03
951,0.1571561,1.3890066E-05,3.7269378E-03
961,0.16321532,3.1954125E-05,5.652798E-03
971,0.15907525,2.5966374E-05,5.095721E-03
981,0.16769734,1.6335507E-05,4.0417206E-03
991,0.16719605,2.243285E-05,4.736333E-03
1001,0.1713765,2.0444173E-05,4.521523E-03
1011,0.18466815,2.6597525E-05,5.157279E-03
1021,0.17836961,5.2026564E-05,7.2129443E-03
1031,0.18386872,1.3444876E-05,3.6667255E-03
1041,0.20185952,1.1672311E-05,3.4164765E-03
1051,0.198997,1.7784287E-05,4.217142E-03
1061,0.19482616,2.0924195E-05,4.5742975E-03
1071,0.20046338,2.8218485E-05,5.3121075E-03
1081,0.20841712,1.4490832E-05,3.8066825E-03
1091,0.20234554,1.6094997E-05,4.011857E-03
1101,0.19873825,1.5847194E-05,3.9808536E-03
1111,0.21319437,1.7939434E-05,4.2354967E-03
1121,0.22168599,1.8119963E-05,4.256755E-03
1131,0.22105135,1.2696007E-05,3.5631456E-03
1141,0.2215348,1.50429105E-05,3.8785192E-03
1151,0.23425008,1.6482489E-05,4.0598633E-03
1161,0.23606391,1.7817749E-05,4.2211073E-03
1171,0.23675528,1.7708424E-05,4.2081377E-03
1181,0.23758578,2.0984211E-05,4.5808526E-03
