n, each, mean, variance, stdDev, median,median1e6
11,8.873335E-05,8.873335E-05,8.767955E-10,2.9610734E-05,7.6E-05,76.0
111,3.0002333E-03,3.0002333E-03,1.031354E-07,3.21147E-04,2.943E-03,2943.0
211,9.2356E-03,9.2356E-03,9.861917E-08,3.1403688E-04,9.268E-03,9268.0
311,1.9098466E-02,1.9098466E-02,1.3164608E-06,1.1473713E-03,1.8844E-02,18844.0
411,3.372223E-02,3.372223E-02,6.1549244E-06,2.480912E-03,3.3277E-02,33277.0
511,4.71045E-02,4.71045E-02,1.0286574E-05,3.207269E-03,4.6672E-02,46672.0
611,7.005934E-02,7.005934E-02,6.8466393E-06,2.6166083E-03,7.0223E-02,70223.0
711,8.981887E-02,8.981887E-02,5.58037E-06,2.3622806E-03,8.9309E-02,89309.0
811,0.12303016,0.12303016,5.091437E-05,7.1354304E-03,0.121864,121864.0
911,0.14111257,0.14111257,2.5309204E-05,5.0308253E-03,0.142695,142695.0
1011,0.18466815,0.18466815,2.6597525E-05,5.157279E-03,0.183589,183589.0
1111,0.21319437,0.21319437,1.7939434E-05,4.2354967E-03,0.21372,213720.0
1211,0.24466571,0.24466571,1.6102458E-05,4.012787E-03,0.244586,244586.0
1311,0.28946656,0.28946656,1.927527E-05,4.3903613E-03,0.289109,289109.0
1411,0.35301194,0.35301194,3.027247E-05,5.5020424E-03,0.351897,351897.0
1511,0.39578697,0.39578697,1.7271089E-04,1.31419515E-02,0.394463,394463.0
1611,0.45274553,0.45274553,1.8264937E-04,1.3514783E-02,0.448788,448788.0
1711,0.5066506,0.5066506,1.4735412E-04,1.2138951E-02,0.502644,502644.0
1811,0.5762755,0.5762755,1.4770265E-04,1.2153298E-02,0.575755,575755.0
1911,0.60527265,0.60527265,1.4027156E-04,1.1843629E-02,0.60235,602350.0
2011,0.7142073,0.7142073,5.9791934E-04,2.4452388E-02,0.71271,712710.0
2111,0.77510345,0.77510345,2.9831883E-04,1.7271908E-02,0.771714,771714.0
2211,0.8714079,0.8714079,1.1260662E-03,3.355691E-02,0.86071,860710.0
2311,0.9355257,0.9355257,3.3469786E-04,1.829475E-02,0.931848,931848.0
2411,1.0239869,1.0239869,5.451991E-04,2.33495E-02,1.02078,1020779.94
2511,1.094866,1.094866,6.293823E-04,2.5087493E-02,1.087492,1087492.0
2611,1.1945802,1.1945802,5.445326E-04,2.3335222E-02,1.19067,1190670.0
2711,1.2643865,1.2643865,6.3695066E-04,2.523788E-02,1.260121,1260121.0
2811,1.3737855,1.3737855,4.5956046E-04,2.1437362E-02,1.370564,1370564.0
2911,1.5121846,1.5121846,4.6955148E-04,2.1669136E-02,1.50773,1507730.0
3011,1.5706764,1.5706764,4.48055E-04,2.116731E-02,1.568272,1568272.0
