n, each, mean, variance, stdDev, median,median1e6
2231,3.8000667E-03,3.8000667E-03,2.1065289E-07,4.5896939E-04,3.69E-03,3690.0
2241,3.7775664E-03,3.7775664E-03,8.0296694E-08,2.833667E-04,3.737E-03,3737.0
2251,3.6287666E-03,3.6287666E-03,6.11191E-08,2.4722278E-04,3.623E-03,3623.0
2261,3.1510335E-03,3.1510335E-03,1.19013755E-07,3.449837E-04,3.083E-03,3083.0
2271,3.9272E-03,3.9272E-03,1.1857295E-07,3.4434424E-04,3.878E-03,3878.0
2281,3.4388336E-03,3.4388336E-03,7.179674E-08,2.6794913E-04,3.397E-03,3397.0
2291,4.241533E-03,4.241533E-03,1.7721719E-07,4.2097172E-04,4.135E-03,4135.0
2301,3.9157337E-03,3.9157337E-03,1.8529718E-07,4.304616E-04,3.875E-03,3875.0
2311,4.309866E-03,4.309866E-03,3.5041435E-06,1.8719358E-03,3.973E-03,3973.0002
2321,3.627633E-03,3.627633E-03,1.5546676E-07,3.9429273E-04,3.558E-03,3558.0
2331,3.5433997E-03,3.5433997E-03,1.2861624E-07,3.5863105E-04,3.495E-03,3495.0
2341,4.0001E-03,4.0001E-03,3.9204883E-06,1.9800223E-03,3.58E-03,3580.0
2351,4.0227664E-03,4.0227664E-03,4.1320664E-06,2.0327484E-03,3.605E-03,3605.0
2361,3.4844999E-03,3.4844999E-03,1.1227917E-07,3.3508084E-04,3.408E-03,3408.0
2371,3.4370339E-03,3.4370339E-03,2.992929E-07,5.470767E-04,3.235E-03,3235.0
2381,4.6723676E-03,4.6723676E-03,2.9449544E-07,5.4267433E-04,4.565E-03,4565.0
2391,3.9725667E-03,3.9725667E-03,2.6413576E-07,5.139414E-04,3.82E-03,3820.0
2401,5.4335673E-03,5.4335673E-03,3.7626676E-06,1.9397597E-03,5.041E-03,5041.0
2411,5.660733E-03,5.660733E-03,3.8906437E-06,1.9724714E-03,5.115E-03,5115.0
2421,4.825934E-03,4.825934E-03,1.0534645E-07,3.2457119E-04,4.758E-03,4758.0
2431,4.3758997E-03,4.3758997E-03,1.1069754E-07,3.327124E-04,4.35E-03,4350.0
2441,5.6856E-03,5.6856E-03,4.6733894E-06,2.1618023E-03,5.251E-03,5251.0
2451,5.0970996E-03,5.0970996E-03,4.0677187E-06,2.0168587E-03,4.672E-03,4672.0
2461,5.3205667E-03,5.3205667E-03,1.9637432E-07,4.431414E-04,5.2E-03,5200.0
2471,4.845566E-03,4.845566E-03,3.4951927E-06,1.8695435E-03,4.412E-03,4412.0
2481,5.1615336E-03,5.1615336E-03,3.5961828E-06,1.8963604E-03,4.814E-03,4814.0
2491,5.2118003E-03,5.2118003E-03,3.820331E-06,1.9545667E-03,4.778E-03,4778.0
2501,5.3308997E-03,5.3308997E-03,3.9281076E-06,1.9819455E-03,4.914E-03,4914.0
2511,5.5748E-03,5.5748E-03,3.4655789E-06,1.8616065E-03,5.169E-03,5169.0
2521,5.7437E-03,5.7437E-03,4.7660665E-06,2.1831323E-03,5.269E-03,5269.0
2531,5.754667E-03,5.754667E-03,3.856827E-06,1.9638806E-03,5.358E-03,5358.0
2541,5.060999E-03,5.060999E-03,1.5379507E-07,3.9216716E-04,5.064E-03,5064.0
2551,5.681234E-03,5.681234E-03,4.192639E-06,2.0475935E-03,5.313E-03,5313.0
2561,5.1391665E-03,5.1391665E-03,4.699754E-06,2.1678915E-03,4.722E-03,4722.0
2571,5.5579E-03,5.5579E-03,3.9535953E-06,1.988365E-03,5.125E-03,5125.0
2581,5.1313667E-03,5.1313667E-03,3.9149663E-06,1.9786274E-03,4.733E-03,4733.0
2591,4.9600005E-03,4.9600005E-03,6.2087786E-08,2.4917422E-04,4.916E-03,4916.0
2601,5.6600003E-03,5.6600003E-03,3.8607521E-07,6.213495E-04,5.476E-03,5476.0
2611,5.1629E-03,5.1629E-03,4.968956E-06,2.2291155E-03,4.759E-03,4759.0
2621,4.2919666E-03,4.2919666E-03,1.6043437E-07,4.005426E-04,4.225E-03,4225.0
2631,5.3079673E-03,5.3079673E-03,1.1275899E-07,3.3579607E-04,5.243E-03,5243.0
2641,5.3565665E-03,5.3565665E-03,4.4849053E-06,2.1177595E-03,4.922E-03,4922.0
2651,5.2346E-03,5.2346E-03,4.752584E-06,2.1800422E-03,4.735E-03,4735.0
2661,4.8390003E-03,4.8390003E-03,4.293464E-06,2.0720675E-03,4.338E-03,4338.0
2671,6.1761662E-03,6.1761662E-03,6.030608E-06,2.4557295E-03,5.748E-03,5748.0
2681,5.365833E-03,5.365833E-03,5.5065702E-06,2.3466083E-03,4.95E-03,4950.0
2691,5.8875E-03,5.8875E-03,5.9463728E-06,2.4385185E-03,5.345E-03,5345.0
2701,6.281166E-03,6.281166E-03,3.029414E-07,5.504011E-04,6.161E-03,6161.0
2711,6.3789007E-03,6.3789007E-03,4.403212E-06,2.0983831E-03,5.96E-03,5960.0
2721,6.9883675E-03,6.9883675E-03,3.485066E-06,1.8668331E-03,6.603E-03,6603.0
2731,7.3576677E-03,7.3576677E-03,2.95413E-06,1.7187583E-03,6.967E-03,6967.0
2741,6.9408338E-03,6.9408338E-03,5.371537E-06,2.3176577E-03,6.476E-03,6476.0
2751,6.310634E-03,6.310634E-03,4.4388394E-06,2.1068554E-03,5.889E-03,5889.0
