n,m,each1e6,meanX1000, each, mean, variance, stdDev
781,161.240407940199,1.8608435E+02,186.08434000,1.8608435E-04,0.18608434,1.6013755E-05,4.001719E-03
791,163.304945813953,1.9089246E+02,190.89246000,1.9089246E-04,0.19089246,1.853252E-05,4.3049413E-03
801,165.369483687707,1.8950985E+02,189.50985000,1.8950985E-04,0.18950985,1.1604031E-05,3.406469E-03
811,167.434021561462,1.9164599E+02,191.646000,1.9164599E-04,0.191646,8.291341E-06,2.879469E-03
821,169.498559435216,2.0235132E+02,202.35132000,2.0235132E-04,0.20235132,9.503451E-06,3.082767E-03
831,171.56309730897,1.9788985E+02,197.88985000,1.9788985E-04,0.19788985,3.9257153E-05,6.2655527E-03
841,173.627635182724,2.0782377E+02,207.82377000,2.0782377E-04,0.20782377,1.803399E-05,4.2466447E-03
851,175.692173056478,2.0329848E+02,203.29848000,2.0329848E-04,0.20329848,1.3808495E-05,3.7159785E-03
861,177.756710930232,2.0719861E+02,207.1986000,2.0719861E-04,0.2071986,1.9161764E-05,4.3774154E-03
871,179.821248803986,2.2368033E+02,223.68033000,2.2368033E-04,0.22368033,2.0718468E-05,4.5517543E-03
881,181.885786677741,2.0809381E+02,208.0938000,2.0809381E-04,0.2080938,1.5212165E-05,3.9002774E-03
891,183.950324551495,2.1895838E+02,218.95838000,2.1895838E-04,0.21895838,8.269929E-06,2.8757483E-03
901,186.014862425249,2.2195485E+02,221.95485000,2.2195485E-04,0.22195485,1.3941016E-05,3.733767E-03
911,188.079400299003,2.1985194E+02,219.85194000,2.1985194E-04,0.21985194,9.789787E-06,3.1288636E-03
921,190.143938172757,2.2796952E+02,227.96951000,2.2796952E-04,0.22796951,1.1558159E-05,3.3997293E-03
931,192.208476046511,2.2006933E+02,220.06933000,2.2006933E-04,0.22006933,1.4072028E-05,3.7512702E-03
941,194.273013920266,2.1963794E+02,219.63793000,2.1963794E-04,0.21963793,5.9263884E-06,2.4344174E-03
951,196.33755179402,2.228222E+02,222.8222000,2.228222E-04,0.2228222,1.9285291E-05,4.391502E-03
961,198.402089667774,2.4283266E+02,242.83266000,2.4283266E-04,0.24283266,1.804435E-05,4.2478642E-03
971,200.466627541528,2.428924E+02,242.8924000,2.428924E-04,0.2428924,1.6325203E-05,4.0404457E-03
981,202.531165415282,2.2771493E+02,227.71493000,2.2771493E-04,0.22771493,1.1889476E-05,3.448112E-03
991,204.595703289036,2.3829952E+02,238.29952000,2.3829952E-04,0.23829952,2.0358468E-05,4.5120358E-03
1001,206.66024116279,2.5050537E+02,250.50536000,2.5050537E-04,0.25050536,1.8958428E-05,4.3541277E-03
1011,208.724779036545,2.4827212E+02,248.2721000,2.4827212E-04,0.2482721,1.9912164E-05,4.462305E-03
1021,210.789316910299,2.35589E+02,235.589000,2.35589E-04,0.235589,9.309086E-05,9.64836E-03
1031,212.853854784053,2.596367E+02,259.6367000,2.596367E-04,0.2596367,2.05771E-05,4.536199E-03
1041,214.918392657807,2.5739646E+02,257.39646000,2.5739646E-04,0.25739646,2.1472768E-05,4.633872E-03
1051,216.982930531561,2.687754E+02,268.77537000,2.687754E-04,0.26877537,2.8548418E-05,5.343072E-03
1061,219.047468405315,2.6836083E+02,268.36082000,2.6836083E-04,0.26836082,1.8503604E-05,4.3015815E-03
1071,221.112006279069,2.7409795E+02,274.09795000,2.7409795E-04,0.27409795,1.476235E-05,3.8421804E-03
1081,223.176544152824,2.743407E+02,274.34072000,2.743407E-04,0.27434072,1.7477485E-05,4.1806083E-03
1091,225.241082026578,2.765904E+02,276.5904000,2.765904E-04,0.2765904,2.5315405E-05,5.031442E-03
1101,227.305619900332,2.842044E+02,284.2044000,2.842044E-04,0.2842044,1.9767314E-05,4.446045E-03
1111,229.370157774086,2.8283114E+02,282.83113000,2.8283114E-04,0.28283113,3.0450414E-05,5.518189E-03
1121,231.43469564784,2.6374948E+02,263.74948000,2.6374948E-04,0.26374948,1.2738842E-05,3.5691515E-03
1131,233.499233521594,2.9973144E+02,299.73143000,2.9973144E-04,0.29973143,2.237658E-05,4.730389E-03
1141,235.563771395349,2.945467E+02,294.54672000,2.945467E-04,0.29454672,1.7846878E-05,4.2245565E-03
1151,237.628309269103,2.8307995E+02,283.07995000,2.8307995E-04,0.28307995,2.1963448E-05,4.6865176E-03
1161,239.692847142857,3.0174377E+02,301.74378000,3.0174377E-04,0.30174378,1.6842525E-05,4.1039647E-03
1171,241.757385016611,2.9303346E+02,293.03345000,2.9303346E-04,0.29303345,2.5127565E-05,5.0127404E-03
1181,243.821922890365,3.1557216E+02,315.57217000,3.1557216E-04,0.31557217,4.076387E-05,6.384659E-03
1191,245.886460764119,3.084827E+02,308.4827000,3.084827E-04,0.3084827,3.6756966E-05,6.0627526E-03
1201,247.950998637873,3.018513E+02,301.8513000,3.018513E-04,0.3018513,2.2025653E-05,4.6931496E-03
1211,250.015536511628,3.106085E+02,310.6085000,3.106085E-04,0.3106085,2.599211E-05,5.098246E-03
1221,252.080074385382,3.1316836E+02,313.16838000,3.1316836E-04,0.31316838,2.8969991E-05,5.3823777E-03
1231,254.144612259136,3.2971398E+02,329.71397000,3.2971398E-04,0.32971397,4.811976E-05,6.9368407E-03
