n,m,each1e6,meanX1000, each, mean, variance, stdDev
2751,567.954369069767,7.9590693E+02,795.90696000,7.9590693E-04,0.79590696,1.23839E-04,1.1128297E-02
2761,570.018906943521,8.062813E+02,806.28127000,8.062813E-04,0.80628127,1.139118E-04,1.0672947E-02
2771,572.083444817275,8.6446013E+02,864.4601000,8.6446013E-04,0.8644601,1.3140102E-04,1.1463028E-02
2781,574.147982691029,8.195812E+02,819.5812000,8.195812E-04,0.8195812,1.443758E-04,1.2015648E-02
2791,576.212520564783,8.8399247E+02,883.9925000,8.8399247E-04,0.8839925,1.785369E-04,1.336177E-02
2801,578.277058438537,8.471817E+02,847.18174000,8.471817E-04,0.84718174,1.2844388E-04,1.1333308E-02
2811,580.341596312292,8.845627E+02,884.5627000,8.845627E-04,0.8845627,1.6992795E-04,1.3035642E-02
2821,582.406134186046,8.607655E+02,860.7655000,8.607655E-04,0.8607655,1.00994366E-04,1.00495955E-02
2831,584.4706720598,8.302128E+02,830.2128000,8.302128E-04,0.8302128,4.1278842E-04,2.0317195E-02
2841,586.535209933554,8.506499E+02,850.6499000,8.506499E-04,0.8506499,1.1291856E-04,1.0626314E-02
2851,588.599747807308,8.431802E+02,843.18024000,8.431802E-04,0.84318024,1.928543E-04,1.38872E-02
2861,590.664285681062,8.7144057E+02,871.4406000,8.7144057E-04,0.8714406,2.3306714E-04,1.5266537E-02
2871,592.728823554816,8.6774974E+02,867.74975000,8.6774974E-04,0.86774975,1.4727564E-04,1.2135718E-02
2881,594.793361428571,8.592468E+02,859.24685000,8.592468E-04,0.85924685,2.0145442E-04,1.4193464E-02
2891,596.857899302325,8.9968834E+02,899.68836000,8.9968834E-04,0.89968836,1.8213266E-04,1.3495653E-02
2901,598.922437176079,8.5913646E+02,859.13646000,8.5913646E-04,0.85913646,2.2481654E-04,1.4993884E-02
2911,600.986975049833,9.073225E+02,907.3225000,9.073225E-04,0.9073225,3.7745977E-04,1.9428324E-02
2921,603.051512923587,9.1440586E+02,914.4059000,9.1440586E-04,0.9144059,1.3985002E-04,1.18258195E-02
2931,605.116050797341,8.833854E+02,883.3854000,8.833854E-04,0.8833854,1.4715666E-04,1.2130815E-02
2941,607.180588671096,9.368707E+02,936.8707000,9.368707E-04,0.9368707,5.908833E-04,2.4308091E-02
2951,609.24512654485,9.1038016E+02,910.3802000,9.1038016E-04,0.9103802,1.5568935E-04,1.2477554E-02
2961,611.309664418604,9.402879E+02,940.2879000,9.402879E-04,0.9402879,1.3828962E-04,1.175966E-02
2971,613.374202292358,8.901405E+02,890.1405000,8.901405E-04,0.8901405,1.0103264E-04,1.0051499E-02
2981,615.438740166112,8.786481E+02,878.6481000,8.786481E-04,0.8786481,1.7329943E-03,4.1629247E-02
2991,617.503278039866,8.914564E+02,891.45637000,8.914564E-04,0.89145637,7.250941E-04,2.6927572E-02
3001,619.56781591362,9.60532E+02,960.532000,9.60532E-04,0.960532,1.3507998E-03,3.675323E-02
3011,621.632353787375,9.2004874E+02,920.0487000,9.2004874E-04,0.9200487,1.9690162E-04,1.4032164E-02
