n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
22,151.931412,124.3924,79.864876,0.7986488,7.9864874E-02,7.9864876E-05,39932.438,399.32437,39.932438,3.9932437E-02,1.5446998E-05,3.930267E-03,4.0507E-02,40.507,8.1014E-02,81.014
21,155.62974,118.7382,81.44474,0.8144474,8.144474E-02,8.144474E-05,40722.37,407.2237,40.72237,4.072237E-02,2.0494424E-05,4.5270766E-03,4.1388E-02,41.388,8.2776E-02,82.776
20,152.32214,113.084,80.03206,0.80032057,8.003206E-02,8.0032056E-05,40016.027,400.16028,40.01603,4.001603E-02,1.9011086E-05,4.3601706E-03,4.1736E-02,41.736,8.3472E-02,83.472
19,128.68883,107.4298,69.79461,0.6979461,6.979461E-02,6.979461E-05,34897.305,348.97305,34.897305,3.4897305E-02,1.471123E-05,3.835522E-03,3.2784E-02,32.784,6.5568E-02,65.568
18,120.989537,101.7756,66.398926,0.66398925,6.6398926E-02,6.639893E-05,33199.465,331.99463,33.199463,3.3199463E-02,2.2418548E-05,4.734823E-03,3.2882E-02,32.882,6.5764E-02,65.76401
17,115.49007,96.1214,63.95293,0.6395293,6.395293E-02,6.395293E-05,31976.465,319.76465,31.976465,3.1976465E-02,1.8696415E-05,4.323935E-03,2.9391E-02,29.391,5.8782E-02,58.781998
16,109.100,90.4672,61.088,0.61088,6.1088003E-02,6.1088E-05,30544.0,305.44,30.544,3.0544E-02,1.5912841E-05,3.98909E-03,2.9118E-02,29.118,5.8236E-02,58.236
15,99.81742,84.813,56.87786,0.5687786,5.687786E-02,5.687786E-05,28438.93,284.38928,28.438929,2.843893E-02,1.4020815E-05,3.7444378E-03,2.6788E-02,26.788,5.3576E-02,53.576
14,87.80678,79.1588,51.33626,0.5133626,5.1336262E-02,5.133626E-05,25668.13,256.6813,25.66813,2.5668131E-02,1.8534784E-05,4.3052044E-03,2.3745E-02,23.745,4.749E-02,47.49
13,80.693372,73.5046,47.997066,0.47997066,4.7997065E-02,4.7997066E-05,23998.533,239.98532,23.998533,2.3998532E-02,1.3247156E-05,3.6396643E-03,2.1871E-02,21.871,4.3742E-02,43.742
12,74.32261,67.8504,44.96553,0.4496553,4.496553E-02,4.496553E-05,22482.766,224.82765,22.482765,2.2482766E-02,1.2155425E-05,3.486463E-03,2.063E-02,20.630001,4.126E-02,41.260002
11,61.6681,62.1962,38.8106,0.38810602,3.8810603E-02,3.8810602E-05,19405.3,194.05301,19.405302,1.9405302E-02,1.0443156E-05,3.2315871E-03,1.7647E-02,17.647,3.5294E-02,35.294
10,55.784131,56.542,35.878002,0.35878003,3.5878003E-02,3.5878E-05,17939.002,179.39001,17.939001,1.7939001E-02,1.0949041E-05,3.3089335E-03,1.6713E-02,16.713001,3.3426E-02,33.426
9,45.305550,50.8878,30.517931,0.3051793,3.051793E-02,3.051793E-05,15258.966,152.58966,15.258966,1.5258966E-02,7.0252872E-06,2.650526E-03,1.4706E-02,14.705999,2.9412E-02,29.412
8,37.686423,45.2336,26.484068,0.26484066,2.6484067E-02,2.6484067E-05,13242.033,132.42033,13.242033,1.3242033E-02,6.9712046E-06,2.640304E-03,1.2061E-02,12.061,2.4122E-02,24.122
7,26.930067,39.5794,20.522398,0.20522399,2.0522399E-02,2.0522399E-05,10261.199,102.61199,10.261199,1.0261199E-02,3.5051644E-06,1.8722084E-03,9.841E-03,9.841,1.9682E-02,19.682
6,17.856558,33.9252,15.133466,0.15133466,1.5133467E-02,1.5133466E-05,7566.7334,75.667336,7.5667334,7.5667333E-03,3.901865E-06,1.975314E-03,6.962E-03,6.962,1.3924E-02,13.924
5,15.478342,28.271,13.639665,0.13639665,1.3639665E-02,1.3639665E-05,6819.8325,68.198326,6.819833,6.8198326E-03,2.9905816E-06,1.7293298E-03,6.553E-03,6.553,1.3106E-02,13.106
4,16.019140,22.6168,13.983133,0.13983133,1.3983133E-02,1.3983134E-05,6991.5664,69.915665,6.9915667,6.9915666E-03,4.8406796E-06,2.2001544E-03,6.524E-03,6.5239997,1.3048E-02,13.047999
3,6.023801,16.9626,7.084333,7.084333E-02,7.084333E-03,7.084333E-06,3542.1665,35.421665,3.5421665,3.5421664E-03,1.43708E-07,3.7908836E-04,3.492E-03,3.492,6.984E-03,6.984
2,3.762452,11.3084,5.234066,5.234066E-02,5.234066E-03,5.234066E-06,2617.033,26.17033,2.617033,2.617033E-03,5.230811E-07,7.2324346E-04,2.465E-03,2.465,4.93E-03,4.93
1,4.2541,5.6542,5.6542,5.6541998E-02,5.6542E-03,5.6542E-06,2827.1,28.271,2.8271,2.8271E-03,4.863383E-08,2.205308E-04,2.724E-03,2.724,5.448E-03,5.448
