n, each, mean, variance, stdDev, median,median1e6
301,7.992178E-05,2.3976535E-02,1.6347093E-06,1.2785575E-03,2.3685E-02,7.8950E+01
401,1.03766106E-04,3.1129831E-02,2.0615107E-06,1.4357961E-03,3.0843E-02,1.0281E+02
501,1.1976912E-04,3.5930738E-02,3.0723577E-06,1.7528142E-03,3.5796E-02,1.1932E+02
601,1.6155743E-04,4.846723E-02,3.3742983E-06,1.8369263E-03,4.8159E-02,1.6053E+02
701,1.8682845E-04,5.6048535E-02,4.8339166E-06,2.198617E-03,5.553E-02,1.851E+02
801,2.2066603E-04,6.619981E-02,6.5981753E-06,2.5686913E-03,6.6025E-02,2.2008E+02
901,2.5750467E-04,7.72514E-02,5.750272E-06,2.3979724E-03,7.6809E-02,2.5603E+02
1001,2.813281E-04,8.439843E-02,6.2131903E-06,2.4926271E-03,8.4182E-02,2.8061E+02
1101,3.114132E-04,9.342396E-02,3.0761377E-05,5.546294E-03,9.204E-02,3.068E+02
1201,3.445639E-04,0.10336917,7.2493162E-06,2.6924554E-03,0.103776,345.920000
1301,3.7286468E-04,0.1118594,7.637374E-06,2.76358E-03,0.111743,372.476667
1401,3.8768857E-04,0.11630657,1.0632547E-05,3.2607587E-03,0.116819,389.396667
1501,4.1465345E-04,0.12439603,2.5569423E-05,5.0566215E-03,0.123572,411.906667
1601,4.4267904E-04,0.13280371,2.4429331E-05,4.942604E-03,0.131924,439.746667
1701,5.05588E-04,0.1516764,4.0728202E-05,6.381865E-03,0.152011,506.703333
1801,5.15704E-04,0.15471119,3.0755527E-05,5.5457666E-03,0.153093,510.310000
1901,5.863356E-04,0.17590068,4.6515797E-05,6.820249E-03,0.173342,577.806667
2001,6.029165E-04,0.18087496,1.0908927E-04,1.0444581E-02,0.178288,594.293333
2101,6.78251E-04,0.2034753,1.0255134E-04,1.0126764E-02,0.203303,677.676667
2201,6.7285844E-04,0.20185754,9.764501E-05,9.881549E-03,0.200518,668.393333
2301,6.985169E-04,0.20955507,1.0810803E-04,1.0397501E-02,0.207454,691.513333
2401,7.5052865E-04,0.2251586,1.7722609E-04,1.33126285E-02,0.221986,739.953333
2501,7.956501E-04,0.23869504,1.5156E-04,1.2310971E-02,0.23412,780.40000
2601,8.2400383E-04,0.24720114,1.4585038E-04,1.2076853E-02,0.244799,815.996667
2701,8.827698E-04,0.26483095,1.8895E-04,1.3745909E-02,0.262321,874.403333
2801,9.3504955E-04,0.28051487,1.4106506E-04,1.1877081E-02,0.275716,919.053333
2901,8.8077795E-04,0.26423338,1.1640544E-04,1.07891355E-02,0.261965,873.216667
3001,1.0937976E-03,0.32813928,1.2392324E-04,1.1132081E-02,0.327914,1093.046667
