n,each1e6,meanX1000, each, mean, variance, stdDev
901,2.3738004E+02,118.69002000,2.3738004E-04,0.11869002,6.0689613E-06,2.463526E-03
911,2.4340501E+02,121.70251000,2.4340501E-04,0.12170251,5.9140508E-05,7.6902867E-03
921,2.3639062E+02,118.19531000,2.3639062E-04,0.11819531,8.102593E-06,2.8465053E-03
931,2.4166053E+02,120.83026000,2.4166053E-04,0.12083026,8.574614E-06,2.9282442E-03
941,2.3456481E+02,117.282405000,2.3456481E-04,0.117282405,1.1837018E-05,3.4404967E-03
951,2.387006E+02,119.3503000,2.387006E-04,0.1193503,1.0701206E-05,3.2712696E-03
961,2.5100706E+02,125.50353000,2.5100706E-04,0.12550353,1.0009485E-05,3.163777E-03
971,2.6785597E+02,133.92799000,2.6785597E-04,0.13392799,1.4106327E-05,3.755839E-03
981,2.4640196E+02,123.20098000,2.4640196E-04,0.12320098,9.473312E-06,3.0778747E-03
991,2.484902E+02,124.24509000,2.484902E-04,0.12424509,8.440649E-06,2.9052796E-03
1001,2.5924365E+02,129.62182000,2.5924365E-04,0.12962182,7.687984E-06,2.7727215E-03
1011,2.563949E+02,128.19746000,2.563949E-04,0.12819746,8.045737E-06,2.8365008E-03
1021,2.356894E+02,117.8447000,2.356894E-04,0.1178447,6.732514E-06,2.594709E-03
1031,2.689562E+02,134.4781000,2.689562E-04,0.1344781,1.2253072E-05,3.5004388E-03
1041,2.810529E+02,140.52644000,2.810529E-04,0.14052644,1.0594643E-05,3.2549412E-03
1051,2.9376353E+02,146.88176000,2.9376353E-04,0.14688176,1.3220386E-05,3.6359848E-03
1061,2.8591792E+02,142.95895000,2.8591792E-04,0.14295895,1.6590388E-05,4.07313E-03
1071,2.9673494E+02,148.36746000,2.9673494E-04,0.14836746,1.4709273E-05,3.8352672E-03
1081,2.9298884E+02,146.49442000,2.9298884E-04,0.14649442,1.2507396E-05,3.5365797E-03
1091,2.669482E+02,133.4741000,2.669482E-04,0.1334741,1.2247508E-05,3.4996439E-03
1101,2.908674E+02,145.43371000,2.908674E-04,0.14543371,1.956271E-05,4.4229752E-03
1111,2.8704148E+02,143.52074000,2.8704148E-04,0.14352074,2.0825204E-05,4.563464E-03
1121,2.8032667E+02,140.16333000,2.8032667E-04,0.14016333,9.038497E-06,3.0064094E-03
1131,3.0930364E+02,154.65182000,3.0930364E-04,0.15465182,1.1931175E-05,3.4541534E-03
1141,3.0526827E+02,152.63414000,3.0526827E-04,0.15263414,1.5613756E-05,3.9514247E-03
1151,2.9784042E+02,148.92021000,2.9784042E-04,0.14892021,1.5819667E-05,3.9773947E-03
