n,each1e6,each,mean, meanOriginal, variance, stdDev
751,369.569,0.00036957,369.56924000,0.36956924,1.04235936E-04,1.02096E-02
761,371.347,0.00037135,371.34722000,0.37134722,4.9612587E-05,7.04362E-03
771,377.139,0.00037714,377.13853000,0.37713853,6.3478554E-05,7.967343E-03
781,384.521,0.0003845,384.5213000,0.3845213,5.348686E-05,7.3134713E-03
791,386.655,0.00038665,386.65476000,0.38665476,4.7317746E-05,6.8787895E-03
801,395.697,0.00039570,395.69706000,0.39569706,5.838077E-05,7.640731E-03
811,399.682,0.0003997,399.6821000,0.3996821,9.116459E-05,9.548015E-03
821,414.054,0.0004141,414.0536000,0.4140536,1.6065972E-04,1.26751615E-02
831,423.954,0.00042395,423.95392000,0.42395392,5.3060307E-05,7.2842506E-03
841,425.592,0.0004256,425.5915000,0.4255915,8.736076E-05,9.3466975E-03
851,421.930,0.00042193,421.92963000,0.42192963,1.107073E-04,1.0521754E-02
861,430.595,0.00043059,430.59498000,0.43059498,6.979448E-05,8.354309E-03
871,437.911,0.00043791,437.91142000,0.43791142,7.066977E-05,8.406531E-03
881,435.870,0.00043587,435.87038000,0.43587038,9.3997485E-05,9.69523E-03
891,456.588,0.00045659,456.58818000,0.45658818,1.1341318E-04,1.0649563E-02
901,447.729,0.0004477,447.7292000,0.4477292,6.342852E-05,7.964202E-03
911,474.002,0.00047400,474.00245000,0.47400245,4.8544715E-04,2.2032864E-02
921,462.232,0.00046223,462.23205000,0.46223205,6.165784E-05,7.852251E-03
931,461.749,0.0004617,461.7493000,0.4617493,6.629635E-05,8.142257E-03
941,470.049,0.00047005,470.04858000,0.47004858,8.20188E-05,9.056423E-03
951,476.847,0.00047685,476.84652000,0.47684652,3.9185878E-05,6.2598623E-03
961,496.782,0.00049678,496.78233000,0.49678233,8.3275736E-05,9.125554E-03
971,511.040,0.0005110,511.0395000,0.5110395,8.706171E-05,9.330686E-03
981,508.421,0.00050842,508.42124000,0.50842124,1.03961895E-04,1.0196171E-02
991,503.536,0.0005035,503.5363000,0.5035363,8.693954E-05,9.324137E-03
1001,513.444,0.000513,513.444000,0.513444,1.1251796E-04,1.0607448E-02
1011,515.657,0.0005157,515.6572000,0.5156572,7.262542E-05,8.522055E-03
1021,525.867,0.00052587,525.86675000,0.52586675,7.4226286E-05,8.615468E-03
1031,541.462,0.0005415,541.4615000,0.5414615,3.5352958E-04,1.8802382E-02
1041,547.018,0.00054702,547.01847000,0.54701847,9.69347E-05,9.845542E-03
1051,556.886,0.0005569,556.8864000,0.5568864,8.711372E-05,9.333474E-03
1061,550.475,0.00055048,550.47524000,0.55047524,7.5605996E-05,8.695171E-03
1071,560.642,0.0005606,560.6415000,0.5606415,8.8964625E-05,9.432106E-03
1081,564.084,0.0005641,564.0843000,0.5640843,5.9068512E-05,7.685604E-03
1091,576.567,0.0005766,576.5666000,0.5765666,9.8039905E-05,9.901511E-03
1101,603.810,0.00060381,603.81037000,0.60381037,7.4334204E-04,2.7264299E-02
1111,610.023,0.0006100,610.0232000,0.6100232,5.264738E-04,2.2945017E-02
1121,613.599,0.00061360,613.59936000,0.61359936,6.192789E-04,2.4885314E-02
1131,587.155,0.00058716,587.15546000,0.58715546,7.0512106E-05,8.397149E-03
1141,596.367,0.0005964,596.3672000,0.5963672,1.0465135E-04,1.0229925E-02
1151,602.259,0.00060226,602.25946000,0.60225946,9.5412644E-05,9.767939E-03
1161,609.947,0.00060995,609.94714000,0.60994714,1.7176008E-04,1.3105727E-02
1171,620.649,0.00062065,620.64904000,0.62064904,5.770528E-05,7.596399E-03
1181,608.473,0.0006085,608.4729000,0.6084729,7.219779E-05,8.496928E-03
1191,632.367,0.00063237,632.36696000,0.63236696,5.9375874E-05,7.7055744E-03
1201,636.238,0.00063624,636.23834000,0.63623834,8.3372317E-04,2.8874265E-02
1211,625.840,0.00062584,625.84037000,0.62584037,6.118928E-04,2.4736466E-02
1221,635.032,0.00063503,635.03176000,0.63503176,8.234676E-05,9.074512E-03
1231,621.964,0.0006220,621.9635000,0.6219635,1.1427677E-04,1.0690032E-02
1241,628.798,0.0006288,628.7984000,0.6287984,8.139652E-05,9.022002E-03
1251,653.842,0.00065384,653.84233000,0.65384233,5.8505455E-05,7.6488857E-03
1261,660.748,0.0006607,660.7477000,0.6607477,5.142845E-05,7.171363E-03
