n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
151,847.8448717,493.05173,4.930517,0.4930517,4.930517E-04,493051.75,4930.5176,493.05173,0.49305174,1.15447045E-04,1.07446285E-02,0.490801,490.801,0.490801,490.801
141,791.6962047,456.6794,4.566794,0.4566794,4.566794E-04,456679.4,4566.794,456.6794,0.4566794,1.402398E-04,1.1842289E-02,0.453758,453.758,0.453758,453.758
131,735.5475377,418.2674,4.182674,0.4182674,4.182674E-04,418267.4,4182.674,418.2674,0.4182674,1.3008284E-04,1.1405387E-02,0.416439,416.439,0.416439,416.439
121,679.3988707,385.66367,3.8566368,0.3856637,3.8566368E-04,385663.7,3856.637,385.6637,0.3856637,1.8973851E-04,1.377456E-02,0.382858,382.858,0.382858,382.858
111,623.2502037,350.45367,3.5045369,0.35045367,3.504537E-04,350453.7,3504.5369,350.45367,0.35045367,9.780932E-05,9.88986E-03,0.348063,348.063,0.348063,348.063
101,567.1015367,318.3418,3.183418,0.3183418,3.183418E-04,318341.78,3183.418,318.3418,0.3183418,1.1644878E-04,1.0791143E-02,0.316443,316.443,0.316443,316.44302
91,510.9528697,283.36136,2.8336136,0.28336135,2.8336135E-04,283361.34,2833.6135,283.36136,0.28336135,3.5673955E-05,5.9727677E-03,0.282242,282.242,0.282242,282.242
81,454.8042027,250.80519,2.5080519,0.2508052,2.508052E-04,250805.2,2508.052,250.8052,0.2508052,8.245979E-05,9.080737E-03,0.249687,249.687,0.249687,249.687
71,398.6555357,216.87877,2.1687877,0.21687876,2.1687876E-04,216878.75,2168.7876,216.87875,0.21687876,3.0466403E-05,5.519638E-03,0.217072,217.07199,0.217072,217.07199
61,342.5068687,182.20908,1.8220907,0.18220907,1.8220907E-04,182209.08,1822.0907,182.20908,0.18220907,8.218717E-06,2.8668304E-03,0.181828,181.828,0.181828,181.82802
51,286.3582017,156.33136,1.5633136,0.15633136,1.5633136E-04,156331.36,1563.3136,156.33136,0.15633136,8.874104E-05,9.420247E-03,0.154137,154.137,0.154137,154.137
41,230.2095347,125.66213,1.2566214,0.12566213,1.2566213E-04,125662.13,1256.6213,125.66213,0.12566213,4.000628E-05,6.325052E-03,0.124039,124.039,0.124038994,124.038994
31,174.0608677,96.20099,0.96200985,9.620099E-02,9.620099E-05,96200.984,962.0099,96.20099,9.620099E-02,2.4320323E-05,4.931564E-03,9.4247E-02,94.247,9.4247E-02,94.247
21,117.9122007,65.35319,0.6535319,6.535319E-02,6.535319E-05,65353.19,653.5319,65.353195,6.535319E-02,1.9965017E-05,4.468223E-03,6.6483E-02,66.483,6.6483E-02,66.483
11,61.7635337,33.774136,0.33774137,3.3774137E-02,3.3774137E-05,33774.137,337.74136,33.77414,3.3774137E-02,2.7584923E-05,5.252135E-03,3.1046E-02,31.046,3.1045998E-02,31.045998
1,5.6148667,5.6148667,5.614867E-02,5.614867E-03,5.614867E-06,5614.867,56.14867,5.6148667,5.614867E-03,9.472045E-06,3.0776688E-03,4.683E-03,4.683,4.683E-03,4.683
